config_id,agent,depth,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.10813454096205533,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,at_max_depth,0,246,6852,0,0,0,0.0,{},0.00017316685989499092,0.020249857334420085,0.0017695571295917034,0.004147541942074895,0.018023491837084293,0.07931992877274752,0.00644557923078537,2.483231946825981e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.04295020806603134,False,720,521,4069,2,2,2,1.0,5,5,5,False,at_max_depth,0,142,3346,0,0,0,0.0,{},1.3748649507761002e-06,0.009529591770842671,0.0009107848163694143,9.082956239581108e-06,0.010506517719477415,0.029745529172942042,0.0026336200535297394,5.408329889178276e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→60,28,60,797.0,0.0962445829063654,False,1204,809,7698,26,8,8,1.0,5,5,5,False,at_max_depth,0,277,6493,0,0,0,0.0,{},3.291061148047447e-06,0.018228371161967516,0.0017296252772212029,7.237493991851807e-05,0.020036362577229738,0.07161126588471234,0.004509996389970183,1.1292053386569023e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,827.0,0.010655207792297006,False,191,124,970,2,2,2,1.0,5,5,5,False,at_max_depth,0,27,779,0,0,0,0.0,{},1.2919772416353226e-06,0.0023827056866139174,0.0002322085201740265,1.0083895176649094e-05,0.0026248283684253693,0.007278919219970703,0.0007249193731695414,1.516495831310749e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.0237979581579566,False,462,205,3810,23,8,8,1.0,5,5,5,False,at_max_depth,0,121,3348,0,0,0,0.0,{},3.1669624149799347e-06,0.009125087643042207,0.0008727880194783211,6.487499922513962e-05,0.00999174127355218,0.0120164193212986,0.0017118393443524837,9.916257113218307e-06,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.05864404188469052,False,774,557,5346,1678,8,8,1.0,5,5,5,False,at_max_depth,0,121,4506,0,0,0,0.0,{},0.00016233394853770733,0.012718219310045242,0.001006291713565588,0.004130790941417217,0.009676607325673103,0.04164904844947159,0.003003594232723117,2.1666986867785454e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.3075844591949135,False,4420,3158,22182,29,8,8,1.0,5,5,5,False,at_max_depth,0,904,17629,0,0,0,0.0,{},3.7918798625469208e-06,0.05166812427341938,0.005265182815492153,7.858313620090485e-05,0.05732628214173019,0.23417056794278324,0.0159938158467412,1.141824759542942e-05,False,False
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.05364654096774757,False,888,619,4730,37,8,8,1.0,5,5,5,False,at_max_depth,0,145,3783,0,0,0,0.0,{},4.749977961182594e-06,0.010931881377473474,0.0010839367751032114,0.000100292032584548,0.012016129214316607,0.03825097600929439,0.003263019723817706,1.1374009773135185e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.04343062499538064,False,733,522,3949,2,2,2,1.0,5,5,5,False,at_max_depth,0,145,3193,0,0,0,0.0,{},1.125037670135498e-06,0.009235334349796176,0.0009128565434366465,6.458954885601997e-06,0.010220380499958992,0.03049342194572091,0.002650114707648754,5.9123849496245384e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,8,,standard,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.0008022920228540897,False,23,6,224,3,3,3,1.0,5,5,5,False,at_max_depth,0,10,194,0,0,0,0.0,{},1.250067725777626e-06,0.0005128746852278709,5.0581758841872215e-05,1.1292053386569023e-05,0.0005587497726082802,0.000126958591863513,8.758367039263248e-05,1.645786687731743e-05,True,True
