config_id,agent,depth,initial_depth,max_depth,target_time_sec,branch_limit,beam_widths,profile,position_id,seed,split,category,turn,sequence_index,remaining_word_count,legal_edge_count,risk_level,selected_edge,start_id,end_id,score,elapsed_time_sec,elapsed_ratio,target_elapsed_ratio,timed_out,nodes_searched,leaf_evaluations,ordering_evaluations,root_candidate_count,selected_root_candidate_count,completed_root_moves,root_completion_rate,effective_depth,depth_before,depth_after,depth_changed,depth_change_reason,recovery_streak,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_searches,research_count,research_rate,beam_widths_used,legal_move_generation_time_sec,candidate_evaluation_time_sec,candidate_sort_time_sec,root_ordering_time_sec,recursive_ordering_time_sec,leaf_evaluation_time_sec,recursive_other_time_sec,other_time_sec,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed1_early_pruning_t75,1,tuning,early_pruning,75,1,66,29,normal,2→12,2,12,788.0,0.30757412500679493,0.30757412500679493,0.7689353125169873,False,4420,3158,22182,29,8,8,1.0,5,5,5,False,recovery_streak_reset,0,904,17629,0,0,0,0.0,{},4.332978278398514e-06,0.051467014010995626,0.005146750016137958,8.045905269682407e-05,0.056988959200680256,0.2348616416566074,0.015625233063474298,1.3499055057764053e-05,False,False
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed1_middle_t120,1,tuning,middle,120,2,90,37,normal,9→49,9,49,768.0,0.0540070841088891,0.0540070841088891,0.13501771027222276,False,888,619,4730,37,8,8,1.0,5,5,5,False,recovery_wait,1,145,3783,0,0,0,0.0,{},5.334150046110153e-06,0.010954756289720535,0.0011204471811652184,0.00010341592133045197,0.012072313809767365,0.038479581009596586,0.003334146225824952,1.2292992323637009e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed1_few_legal_t121,1,tuning,few_legal,121,3,4,2,critical,20→2,20,2,667.0,0.043701875023543835,0.043701875023543835,0.10925468755885959,False,733,522,3949,2,2,2,1.0,5,5,5,False,recovery_wait,2,145,3193,0,0,0,0.0,{},1.5420373529195786e-06,0.009187879506498575,0.0009299481753259897,7.875030860304832e-06,0.010188115760684013,0.030778981279581785,0.002664236119017005,6.112479604780674e-05,True,True
alpha_beta_d5_b8__standard,alpha_beta,5,5,7,0.4,8,,standard,seed1_late_t236,1,tuning,late,236,4,4,3,danger,35→63,35,63,-999996.0,0.000792207894846797,0.000792207894846797,0.0019805197371169925,False,23,6,224,3,3,3,1.0,5,5,6,True,recovered,0,10,194,0,0,0,0.0,{},1.4170072972774506e-06,0.0005078739486634731,5.0999224185943604e-05,1.1792173609137535e-05,0.0005538738332688808,0.00012662471272051334,8.108443580567837e-05,1.7415732145309448e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed0_early_t0,0,tuning,early,0,0,5000,1686,normal,1→35,1,35,597.0,0.1075789590831846,0.1075789590831846,0.179298265138641,False,1683,1288,8542,1686,8,8,1.0,5,5,5,False,recovery_wait,1,246,6852,0,0,0,0.0,{},0.00015529198572039604,0.020208990899845958,0.0017597712576389313,0.004138916963711381,0.01797426538541913,0.07892404613085091,0.006361522478982806,2.4916138499975204e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed0_few_legal_t6,0,tuning,few_legal,6,1,2,2,critical,35→32,35,32,597.0,0.0429732499178499,0.0429732499178499,0.0716220831964165,False,720,521,4069,2,2,2,1.0,5,5,6,True,recovered,0,142,3346,0,0,0,0.0,{},1.4170072972774506e-06,0.0095183071680367,0.0009210368152707815,1.00000761449337e-05,0.010508283274248242,0.02974801347590983,0.002648870227858424,5.666585639119148e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed0_early_pruning_t17,0,tuning,early_pruning,17,2,44,26,normal,28→66,28,66,-807.5,0.16152395796962082,0.16152395796962082,0.26920659661603474,False,2107,1415,13005,26,8,8,1.0,6,6,6,False,recovery_wait,1,455,10894,0,0,0,0.0,{},3.3748801797628403e-06,0.03081318619661033,0.0029503600671887398,7.462501525878906e-05,0.0339384526014328,0.1197163222823292,0.007777933031320572,1.3250159099698067e-05,False,False
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed0_middle_t27,0,tuning,middle,27,3,2,2,critical,63→63,63,63,-797.0,0.04539679200388491,0.04539679200388491,0.07566132000647485,False,865,572,5040,2,2,2,1.0,6,6,7,True,recovered,0,186,4175,0,0,0,0.0,{},1.5827827155590057e-06,0.012000881601125002,0.0011633250396698713,1.0665971785783768e-05,0.013239109190180898,0.028985372511669993,0.003142476314678788,1.7585232853889465e-05,True,False
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed0_late_t49,0,tuning,late,49,4,78,23,normal,11→28,11,28,999995.0,0.12789770890958607,0.12789770890958607,0.21316284818264347,False,2478,1079,20021,23,8,8,1.0,7,7,7,False,at_max_depth,0,656,17542,0,0,0,0.0,{},3.2498501241207123e-06,0.04790360643528402,0.004725850420072675,7.183291018009186e-05,0.052875692723318934,0.06530805304646492,0.009616545168682933,2.233521081507206e-05,True,True
alpha_beta_d5_b8__aggressive,alpha_beta,5,5,7,0.6,8,,aggressive,seed1_early_t0,1,tuning,early,0,0,5000,1678,normal,13→35,13,35,758.5,0.062226791866123676,0.062226791866123676,0.1037113197768728,False,774,557,5346,1678,8,8,1.0,5,5,5,False,recovery_wait,1,121,4506,0,0,0,0.0,{},0.0001629579346626997,0.013214260339736938,0.0011510897893458605,0.004278374835848808,0.010188116692006588,0.04426391189917922,0.003303263569250703,3.0166935175657272e-05,True,True
