agent,ply_and_width,use_count
research_adaptive_beam,5:1,8773
research_adaptive_beam,5:2,617817
research_adaptive_beam,5:3,16193
research_adaptive_beam,5:4,14028
research_adaptive_beam,5:5,12568
research_adaptive_beam,5:6,20751
research_adaptive_beam,5:7,10106
research_adaptive_beam,5:8,7225
research_adaptive_beam,6:1,21143
research_adaptive_beam,6:2,748197
research_adaptive_beam,6:3,26994
research_adaptive_beam,6:4,17895
research_adaptive_beam,6:5,22939
research_adaptive_beam,6:6,43741
research_adaptive_beam,6:7,14913
research_adaptive_beam,6:8,9732
research_adaptive_beam,7:1,18729
research_adaptive_beam,7:2,613985
research_adaptive_beam,7:3,17569
research_adaptive_beam,7:4,9046
research_adaptive_beam,7:5,14665
research_adaptive_beam,7:6,27174
research_adaptive_beam,7:7,4409
research_adaptive_beam,7:8,3753
research_adaptive_beam,8:1,14331
research_adaptive_beam,8:2,202437
research_adaptive_beam,8:3,6278
research_adaptive_beam,8:4,2261
research_adaptive_beam,8:5,3847
research_adaptive_beam,8:6,5655
research_adaptive_beam,8:7,224
research_adaptive_beam,8:8,368
