match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D5000_seed0_graph_control_vs_minimax_rep0,21,5000,80-100%,0.996,False,2,0.0783703659507804,0.0391851829753902,1,2,False,0.0783703659507804,True,True,True,local_only,,,0.0018536669667810202,0.0007955419132485986,5.170702934265137e-05,9.633309673517942e-05
D5000_seed0_graph_control_vs_minimax_rep0,23,5000,80-100%,0.9956,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,,,0.000886749941855669,0.0003962089540436864,2.8000096790492535e-05,4.9749971367418766e-05
D5000_seed0_graph_control_vs_alpha_beta_rep0,1,5000,80-100%,1.0,False,1362,4.654144874068136,0.3856721763010138,1,108,False,1000000013.1680205,False,False,False,both,,,1.0055495830019936,0.34231132944114506,0.027529164333827794,0.03965638787485659
D5000_seed0_graph_control_vs_alpha_beta_rep0,3,5000,80-100%,0.9996,False,6,1.4289439176484038,0.49198939287853655,1,5,False,1000000010.394027,True,False,False,both,,,0.008041374967433512,0.003430957905948162,0.00031195790506899357,0.0004959997022524476
D5000_seed0_graph_control_vs_alpha_beta_rep0,5,5000,80-100%,0.9992,False,17,1.0520386502687593,0.32607829623652407,1,16,False,1000000009.6541744,True,False,False,both,,,0.017911833012476563,0.008484457153826952,0.00046566897071897984,0.0009235385805368423
D5000_seed0_graph_control_vs_alpha_beta_rep0,7,5000,80-100%,0.9988,False,27,1.3368501366096037,0.2884033879886371,1,26,False,1000000009.9388975,True,False,False,both,,,0.026457416941411793,0.012657834216952324,0.0006947489455342293,0.0014135001692920923
D5000_seed0_graph_control_vs_alpha_beta_rep0,9,5000,80-100%,0.9984,False,26,1.1212159327835547,0.26614240100334063,1,25,False,1000000009.7231747,True,False,False,both,False,False,0.025016084080561996,0.011734000174328685,0.0006470842054113746,0.001301289303228259
D5000_seed0_graph_control_vs_alpha_beta_rep0,11,5000,80-100%,0.998,False,6,1.125713776785565,0.3830949250820965,1,6,False,1.125713776785565,True,True,True,local_only,,,0.006061292020604014,0.002783625852316618,0.0001742922468110919,0.0003232499584555626
D5000_seed0_graph_control_vs_alpha_beta_rep0,13,5000,80-100%,0.9976,False,5,0.6042485443900922,0.20862303094779852,1,5,False,0.6042485443900922,True,True,True,local_only,,,0.005655042012222111,0.002673208946362138,0.00015525100752711296,0.00030121009331196547
D5000_seed0_graph_control_vs_alpha_beta_rep0,15,5000,80-100%,0.9972,False,25,1.0523384749555706,0.2551436126640297,1,24,False,1000000009.6540313,True,False,False,both,,,0.02308950002770871,0.010852831765078008,0.0006247888086363673,0.0012351240729913116
D5000_seed0_graph_control_vs_alpha_beta_rep0,17,5000,80-100%,0.9968,False,4,0.2692915705741008,0.10734066739816962,1,4,False,0.2692915705741008,True,True,True,local_only,,,0.004214750020764768,0.0018284169491380453,0.00011808390263468027,0.00022429111413657665
D5000_seed0_graph_control_vs_alpha_beta_rep0,19,5000,80-100%,0.9964,False,4,0.2730076668540846,0.10845728253863075,1,4,False,0.2730076668540846,True,True,True,local_only,,,0.0036120000295341015,0.001635667053051293,9.937596041709185e-05,0.00018716603517532349
D5000_seed0_graph_control_vs_alpha_beta_rep0,21,5000,80-100%,0.996,False,3,0.21770208341159858,0.09003051264962657,1,3,False,0.21770208341159858,True,True,True,local_only,,,0.003190541989170015,0.001412666984833777,8.766690734773874e-05,0.0001656251261010766
D5000_seed0_graph_control_vs_alpha_beta_rep0,23,5000,80-100%,0.9956,False,2,0.07839788760965938,0.03919894380482969,1,2,False,0.07839788760965938,True,True,True,local_only,,,0.001978958025574684,0.000822416041046381,5.4623931646347046e-05,0.00010008295066654682
D5000_seed0_graph_control_vs_alpha_beta_rep0,25,5000,80-100%,0.9952,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,,,0.0010969999711960554,0.0005071250488981605,4.0125101804733276e-05,5.420891102403402e-05
D5000_seed0_graph_control_vs_pvs_rep0,1,5000,80-100%,1.0,False,1470,4.654144874068136,0.38478938553843084,1,110,False,1000000013.1680205,False,False,False,both,,,1.0045283330837265,0.3392412754474208,0.019658169243484735,0.039619965478777885
D5000_seed0_graph_control_vs_pvs_rep0,3,5000,80-100%,0.9996,False,6,1.4289439176484038,0.49198939287853655,1,5,False,1000000010.394027,True,False,False,both,,,0.004804208059795201,0.002151916967704892,0.00011241680476814508,0.00020170689094811678
D5000_seed0_graph_control_vs_pvs_rep0,5,5000,80-100%,0.9992,False,17,1.0520386502687593,0.32607829623652407,1,16,False,1000000009.6541744,True,False,False,both,,,0.01718783297110349,0.00786979217082262,0.0004426251398399472,0.0008868719451129436
D5000_seed0_graph_control_vs_pvs_rep0,7,5000,80-100%,0.9988,False,27,1.3368501366096037,0.2884033879886371,1,26,False,1000000009.9388975,True,False,False,both,,,0.027723874896764755,0.01336857897695154,0.0007180431857705116,0.001481667859479785
D5000_seed0_graph_control_vs_pvs_rep0,9,5000,80-100%,0.9984,False,26,1.1212159327835547,0.26614240100334063,1,25,False,1000000009.7231747,True,False,False,both,,,0.023528833989985287,0.01103079179301858,0.0006309583550319076,0.0012119171442463994
D5000_seed0_graph_control_vs_pvs_rep0,11,5000,80-100%,0.998,False,6,1.125713776785565,0.3830949250820965,1,6,False,1.125713776785565,True,True,True,local_only,,,0.006953291012905538,0.00303945888299495,0.00019874901045113802,0.00034433393739163876
