match_id,dict_size,dictionary_seed,repetition,agent,opponent,seat,won,draw,turn_count,mean_time_sec,median_time_sec,p95_time_sec,max_time_sec,timeout_count,invalid_move_count,move_count,nodes_searched,candidate_evaluations
D5000_seed0_monte_carlo_vs_greedy_rep0,5000,0,0,monte_carlo,greedy,first,False,False,22,0.10335136363636364,0.078015,0.400217,0.400217,0,0,11,0,0
D5000_seed0_monte_carlo_vs_greedy_rep0,5000,0,0,greedy,monte_carlo,second,True,False,22,6.736363636363636e-05,7.6e-05,9.4e-05,9.4e-05,0,0,11,0,0
D5000_seed0_monte_carlo_vs_greedy_rep1,5000,0,1,monte_carlo,greedy,first,False,False,18,0.13130944444444445,0.07549,0.460691,0.460691,0,0,9,0,0
D5000_seed0_monte_carlo_vs_greedy_rep1,5000,0,1,greedy,monte_carlo,second,True,False,18,7.188888888888889e-05,8.4e-05,0.000107,0.000107,0,0,9,0,0
D5000_seed0_monte_carlo_vs_greedy_rep2,5000,0,2,monte_carlo,greedy,first,False,False,18,0.17536355555555555,0.105826,0.592781,0.592781,0,0,9,0,0
D5000_seed0_monte_carlo_vs_greedy_rep2,5000,0,2,greedy,monte_carlo,second,True,False,18,0.00012222222222222224,0.000129,0.000206,0.000206,0,0,9,0,0
D5000_seed0_monte_carlo_vs_greedy_rep3,5000,0,3,monte_carlo,greedy,first,False,False,20,0.248001,0.12379699999999999,0.721151,0.721151,0,0,10,0,0
D5000_seed0_monte_carlo_vs_greedy_rep3,5000,0,3,greedy,monte_carlo,second,True,False,20,0.0001288,0.00015299999999999998,0.000191,0.000191,0,0,10,0,0
D5000_seed0_monte_carlo_vs_greedy_rep4,5000,0,4,monte_carlo,greedy,first,False,False,24,0.20590324999999998,0.1424,0.669778,0.669778,0,0,12,0,0
D5000_seed0_monte_carlo_vs_greedy_rep4,5000,0,4,greedy,monte_carlo,second,True,False,24,0.00010966666666666667,0.00010750000000000001,0.000166,0.000166,0,0,12,0,0
D5000_seed0_monte_carlo_vs_minimax_rep0,5000,0,0,monte_carlo,minimax,first,False,False,28,0.27243435714285713,0.23102299999999998,0.668718,0.668718,0,0,14,0,0
D5000_seed0_monte_carlo_vs_minimax_rep0,5000,0,0,minimax,monte_carlo,second,True,False,28,0.04251914285714286,0.045376,0.055353,0.055353,0,0,14,6896.0,18273.0
D5000_seed0_monte_carlo_vs_minimax_rep1,5000,0,1,monte_carlo,minimax,first,False,False,20,0.2395548,0.12078050000000001,0.638644,0.638644,0,0,10,0,0
D5000_seed0_monte_carlo_vs_minimax_rep1,5000,0,1,minimax,monte_carlo,second,True,False,20,0.0510706,0.057763499999999995,0.066106,0.066106,0,0,10,4523.0,12234.0
D5000_seed0_monte_carlo_vs_minimax_rep2,5000,0,2,monte_carlo,minimax,first,False,False,28,0.33136142857142853,0.3165655,0.661074,0.661074,0,0,14,0,0
D5000_seed0_monte_carlo_vs_minimax_rep2,5000,0,2,minimax,monte_carlo,second,True,False,28,0.0497885,0.053056,0.063275,0.063275,0,0,14,7019.0,18746.0
D5000_seed0_monte_carlo_vs_minimax_rep3,5000,0,3,monte_carlo,minimax,first,False,False,26,0.22021115384615383,0.128933,0.58092,0.58092,0,0,13,0,0
D5000_seed0_monte_carlo_vs_minimax_rep3,5000,0,3,minimax,monte_carlo,second,True,False,26,0.04206369230769231,0.039669,0.058342,0.058342,0,0,13,6376.0,17183.0
D5000_seed0_monte_carlo_vs_minimax_rep4,5000,0,4,monte_carlo,minimax,first,False,False,30,0.1970488,0.142475,0.602437,0.602437,0,0,15,0,0
D5000_seed0_monte_carlo_vs_minimax_rep4,5000,0,4,minimax,monte_carlo,second,True,False,30,0.0413086,0.040238,0.065371,0.065371,0,0,15,7213.0,19216.0
D5000_seed0_monte_carlo_vs_alpha_beta_rep0,5000,0,0,monte_carlo,alpha_beta,first,False,False,34,0.11669482352941175,0.10006,0.402322,0.402322,0,0,17,0,0
D5000_seed0_monte_carlo_vs_alpha_beta_rep0,5000,0,0,alpha_beta,monte_carlo,second,True,False,34,0.1030660588235294,0.105842,0.184278,0.184278,0,0,17,18299.0,83117.0
D5000_seed0_monte_carlo_vs_alpha_beta_rep1,5000,0,1,monte_carlo,alpha_beta,first,False,False,22,0.17492154545454544,0.121433,0.63438,0.63438,0,0,11,0,0
D5000_seed0_monte_carlo_vs_alpha_beta_rep1,5000,0,1,alpha_beta,monte_carlo,second,True,False,22,0.10516372727272727,0.101401,0.208702,0.208702,0,0,11,10522.0,48630.0
D5000_seed0_monte_carlo_vs_alpha_beta_rep2,5000,0,2,monte_carlo,alpha_beta,first,False,False,30,0.20374306666666667,0.133524,0.609177,0.609177,0,0,15,0,0
D5000_seed0_monte_carlo_vs_alpha_beta_rep2,5000,0,2,alpha_beta,monte_carlo,second,True,False,30,0.09876113333333333,0.09966,0.305286,0.305286,0,0,15,16227.0,81471.0
D5000_seed0_monte_carlo_vs_alpha_beta_rep3,5000,0,3,monte_carlo,alpha_beta,first,False,False,32,0.19687849999999998,0.1049635,0.620923,0.620923,0,0,16,0,0
D5000_seed0_monte_carlo_vs_alpha_beta_rep3,5000,0,3,alpha_beta,monte_carlo,second,True,False,32,0.1228404375,0.119146,0.2912,0.2912,0,0,16,22011.0,97493.0
D5000_seed0_monte_carlo_vs_alpha_beta_rep4,5000,0,4,monte_carlo,alpha_beta,first,False,False,26,0.13942346153846155,0.097452,0.616028,0.616028,0,0,13,0,0
D5000_seed0_monte_carlo_vs_alpha_beta_rep4,5000,0,4,alpha_beta,monte_carlo,second,True,False,26,0.08858192307692307,0.10373,0.141671,0.141671,0,0,13,12462.0,62834.0
D5000_seed0_monte_carlo_vs_pvs_rep0,5000,0,0,monte_carlo,pvs,first,False,False,15,0.195452875,0.07114,0.564794,0.564794,0,0,8,0,0
D5000_seed0_monte_carlo_vs_pvs_rep0,5000,0,0,pvs,monte_carlo,second,True,False,15,0.10731199999999999,0.10537,0.199787,0.199787,0,0,7,10026.0,49105.0
D5000_seed0_monte_carlo_vs_pvs_rep1,5000,0,1,monte_carlo,pvs,first,False,False,22,0.15544409090909092,0.100424,0.643772,0.643772,0,0,11,0,0
D5000_seed0_monte_carlo_vs_pvs_rep1,5000,0,1,pvs,monte_carlo,second,True,False,22,0.07457736363636364,0.078887,0.152484,0.152484,0,0,11,8187.0,43246.0
D5000_seed0_monte_carlo_vs_pvs_rep2,5000,0,2,monte_carlo,pvs,first,False,False,20,0.1484611,0.0974245,0.605257,0.605257,0,0,10,0,0
D5000_seed0_monte_carlo_vs_pvs_rep2,5000,0,2,pvs,monte_carlo,second,True,False,20,0.061121400000000006,0.0625615,0.11936,0.11936,0,0,10,7252.0,37595.0
D5000_seed0_monte_carlo_vs_pvs_rep3,5000,0,3,monte_carlo,pvs,first,False,False,40,0.19222875,0.11856349999999999,0.618763,0.666316,0,0,20,0,0
D5000_seed0_monte_carlo_vs_pvs_rep3,5000,0,3,pvs,monte_carlo,second,True,False,40,0.08530235,0.0626645,0.165615,0.285424,0,0,20,20444.0,120486.0
D5000_seed0_monte_carlo_vs_pvs_rep4,5000,0,4,monte_carlo,pvs,first,False,False,44,0.17395136363636363,0.175962,0.395071,0.409582,0,0,22,0,0
D5000_seed0_monte_carlo_vs_pvs_rep4,5000,0,4,pvs,monte_carlo,second,True,False,44,0.14493163636363635,0.164123,0.269628,0.306991,0,0,22,32368.0,165618.0
D5000_seed0_monte_carlo_vs_beam_negamax_rep0,5000,0,0,monte_carlo,beam_negamax,first,False,False,78,0.26660225641025637,0.288439,0.623058,0.631841,0,0,39,0,0
D5000_seed0_monte_carlo_vs_beam_negamax_rep0,5000,0,0,beam_negamax,monte_carlo,second,True,False,78,0.07818251282051282,0.071877,0.130189,0.133258,0,0,39,48677.0,320789.0
D5000_seed0_monte_carlo_vs_beam_negamax_rep1,5000,0,1,monte_carlo,beam_negamax,first,False,False,36,0.26795083333333336,0.3072745,0.423904,0.423904,0,0,18,0,0
D5000_seed0_monte_carlo_vs_beam_negamax_rep1,5000,0,1,beam_negamax,monte_carlo,second,True,False,36,0.08287344444444444,0.07885149999999999,0.114817,0.114817,0,0,18,23164.0,153266.0
D5000_seed0_monte_carlo_vs_beam_negamax_rep2,5000,0,2,monte_carlo,beam_negamax,first,False,False,66,0.21391451515151516,0.178748,0.581025,0.678365,0,0,33,0,0
D5000_seed0_monte_carlo_vs_beam_negamax_rep2,5000,0,2,beam_negamax,monte_carlo,second,True,False,66,0.08769781818181818,0.089314,0.131358,0.136634,0,0,33,40627.0,272874.0
D5000_seed0_monte_carlo_vs_beam_negamax_rep3,5000,0,3,monte_carlo,beam_negamax,first,False,False,64,0.274467875,0.313596,0.649193,0.670974,0,0,32,0,0
D5000_seed0_monte_carlo_vs_beam_negamax_rep3,5000,0,3,beam_negamax,monte_carlo,second,True,False,64,0.09239525,0.091765,0.139382,0.140274,0,0,32,38693.0,264232.0
D5000_seed0_monte_carlo_vs_beam_negamax_rep4,5000,0,4,monte_carlo,beam_negamax,first,False,False,90,0.3026907777777778,0.280319,0.664648,0.674295,0,0,45,0,0
D5000_seed0_monte_carlo_vs_beam_negamax_rep4,5000,0,4,beam_negamax,monte_carlo,second,True,False,90,0.09659453333333333,0.093424,0.138997,0.143446,0,0,45,60064.0,399409.0
