agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,max_depth_fixed_move_agreement,max_depth_fixed_score_agreement
alpha_beta,0,,{},8,0.11981678195297718,0.023135660914704204,early,8,alpha_beta_d5_b8__standard,246,5,5,5,recovery_streak_reset,False,5,0.8114787500817329,35,0.575824107741937,1288,1686,0.0007897920440882444,1683,0,8542,0.000111832981929183,seed0_early_t0,standard,6852,0,0.13198307831771672,0.08475318900309503,5000,0,0.0,normal,1686,1.0,0.018016749992966652,597.0,0,1→35,8,0,tuning,1,False,0,True,True
alpha_beta,0,,{},8,0.04856970836408436,0.00745701021514833,few_legal,2,alpha_beta_d5_b8__standard,142,5,5,5,at_max_depth,False,5,0.2275823331438005,32,0.15254423767328262,521,2,8.082948625087738e-06,720,0,4069,0.0002440840471535921,seed0_few_legal_t6,standard,3346,0,0.057470002211630344,0.0172565511893481,2,0,0.0,critical,2,1.0,5.937507376074791e-05,597.0,0,35→32,2,1,tuning,35,False,6,True,True
alpha_beta,0,,{},8,0.07048201281577349,0.009835205972194672,early_pruning,8,alpha_beta_d5_b8__standard,277,5,5,5,at_max_depth,False,5,0.38550487509928644,60,0.28212423878721893,809,26,2.0124949514865875e-05,1204,0,7698,5.0958944484591484e-05,seed0_early_pruning_t17,standard,6493,0,0.08129971893504262,0.02171770832501352,44,0,0.0,normal,26,1.0,0.0002921251580119133,797.0,0,28→60,8,2,tuning,28,False,17,True,True
alpha_beta,0,,{},8,0.007653744658455253,0.0015852053184062243,middle,2,alpha_beta_d5_b8__standard,27,5,5,5,at_max_depth,False,5,0.04025329207070172,63,0.027366922236979008,124,2,1.1542113497853279e-05,191,0,970,0.00011129188351333141,seed0_middle_t27,standard,779,0,0.009333950700238347,0.003369585145264864,2,0,0.0,critical,2,1.0,5.9999991208314896e-05,827.0,0,63→63,2,3,tuning,63,False,27,True,True
alpha_beta,0,,{},8,0.040231120539829135,0.005359588423743844,late,8,alpha_beta_d5_b8__standard,121,5,5,5,at_max_depth,False,5,0.11097466596402228,28,0.053425382822752,205,23,2.3584114387631416e-05,462,0,3810,6.774882785975933e-05,seed0_late_t49,standard,3348,0,0.045956379966810346,0.01121202833019197,78,0,0.0,normal,23,1.0,0.0002895419020205736,999995.0,0,11→28,8,4,tuning,11,False,49,True,True
alpha_beta,0,,{},8,0.06075153988786042,0.00927042169496417,early,8,alpha_beta_d5_b8__standard,121,5,5,5,at_max_depth,False,5,0.27478083316236734,35,0.18699199007824063,557,1678,0.0005776248872280121,774,0,5346,0.00012166518718004227,seed1_early_t0,standard,4506,0,0.05167895229533315,0.01609676657244563,5000,0,0.0,normal,1678,1.0,0.01931383414193988,758.5,1,13→35,8,0,tuning,13,False,0,True,True
alpha_beta,0,,{},8,0.1532199652865529,0.04338742233812809,early_pruning,4,alpha_beta_d5_b8__standard,522,5,4,5,timeout,True,5,1.0002931251656264,56,0.7213578685186803,1902,29,1.987488940358162e-05,2637,0,13151,6.941729225218296e-05,seed1_early_pruning_t75,standard,10419,0,0.20129868341609836,0.0762091560754925,66,0,0.0,normal,29,0.5,0.0013381249736994505,787.0,1,2→56,8,1,tuning,2,True,75,False,False
alpha_beta,0,,{},8,0.04012611857615411,0.008107330184429884,middle,8,alpha_beta_d5_b8__standard,76,5,4,4,recovery_wait,False,4,0.1541957501322031,20,0.08720779209397733,186,37,3.77921387553215e-05,289,0,2044,0.00011612474918365479,seed1_middle_t120,standard,1742,1,0.046837995294481516,0.017981545766815543,90,0,0.0,normal,37,1.0,0.0020145000889897346,-768.0,1,9→20,8,2,tuning,9,False,120,False,False
alpha_beta,0,,{},8,0.008030965924263,0.0013221248518675566,few_legal,2,alpha_beta_d5_b8__standard,28,5,4,4,recovery_wait,False,4,0.05525962496176362,2,0.0423441540915519,167,2,9.250128641724586e-06,219,0,1008,0.0001937076449394226,seed1_few_legal_t121,standard,782,2,0.009458788437768817,0.0031918075401335955,4,0,0.0,critical,2,1.0,6.191711872816086e-05,-667.0,1,20→2,2,3,tuning,20,False,121,True,False
alpha_beta,0,,{},8,0.0009745408315211535,0.00011100084520876408,late,3,alpha_beta_d5_b8__standard,3,5,4,4,recovery_wait,False,4,0.001963583054021001,63,0.0005941658746451139,8,3,1.1083902791142464e-05,17,0,144,8.49161297082901e-05,seed1_late_t236,standard,122,3,0.0010334162507206202,0.00017154286615550518,4,0,0.0,danger,3,1.0,6.845803000032902e-05,-999996.0,1,35→63,3,4,tuning,35,False,236,True,True
alpha_beta,0,,{},8,0.07728683738969266,0.013901825761422515,early,8,alpha_beta_d5_b8__aggressive,246,5,5,5,at_max_depth,False,5,0.45988516602665186,35,0.3365056000184268,1288,1686,0.0005587080959230661,1683,0,8542,0.00010270788334310055,seed0_early_t0,aggressive,6852,0,0.07575745787471533,0.030155859189108014,5000,0,0.0,normal,1686,1.0,0.016804832965135574,597.0,0,1→35,8,0,tuning,1,False,0,True,True
alpha_beta,0,,{},8,0.04492167639546096,0.008114165626466274,few_legal,2,alpha_beta_d5_b8__aggressive,142,5,5,5,at_max_depth,False,5,0.23098441609181464,32,0.15705903293564916,521,2,8.666887879371643e-06,720,0,4069,0.00021608243696391582,seed0_few_legal_t6,aggressive,3346,0,0.053911331575363874,0.019725260324776173,2,0,0.0,critical,2,1.0,6.404193118214607e-05,597.0,0,35→32,2,1,tuning,35,False,6,True,True
alpha_beta,0,,{},8,0.0744838728569448,0.011075133923441172,early_pruning,8,alpha_beta_d5_b8__aggressive,277,5,5,5,at_max_depth,False,5,0.39839333295822144,60,0.288172606844455,809,26,1.9584083929657936e-05,1204,0,7698,6.503984332084656e-05,seed0_early_pruning_t17,aggressive,6493,0,0.08704530517570674,0.022737588034942746,44,0,0.0,normal,26,1.0,0.00035320897586643696,797.0,0,28→60,8,2,tuning,28,False,17,True,True
alpha_beta,0,,{},8,0.009693540399894118,0.001208711415529251,middle,2,alpha_beta_d5_b8__aggressive,27,5,5,5,at_max_depth,False,5,0.03942999988794327,63,0.02532996260561049,124,2,2.8957845643162727e-05,191,0,970,0.0001119591761380434,seed0_middle_t27,aggressive,779,0,0.010899413144215941,0.002912582131102681,2,0,0.0,critical,2,1.0,0.00014712498523294926,827.0,0,63→63,2,3,tuning,63,False,27,True,True
alpha_beta,0,,{},8,0.032933879643678665,0.004565500421449542,late,8,alpha_beta_d5_b8__aggressive,121,5,5,5,at_max_depth,False,5,0.08785699983127415,28,0.043080123607069254,205,23,1.6833888366818428e-05,462,0,3810,7.59568065404892e-05,seed0_late_t49,aggressive,3348,0,0.03747366811148822,0.006825292482972145,78,0,0.0,normal,23,1.0,0.0003851249348372221,999995.0,0,11→28,8,4,tuning,11,False,49,True,True
