config_id,agent,position_id,seed,risk_level,repetition,selected_edge,score,elapsed_time_sec,timed_out,nodes_searched,completed_root_moves,effective_depth
alpha_beta_d3_b16,alpha_beta,seed0_middle_t39,0,normal,4,55→63,2284.0,0.039653874933719635,False,343,16,3
alpha_beta_d3_b16,alpha_beta,seed0_late_t69,0,normal,0,1→63,3526.0,0.02335133298765868,False,173,16,3
alpha_beta_d3_b16,alpha_beta,seed0_late_t69,0,normal,1,1→63,3526.0,0.023585167014971375,False,173,16,3
alpha_beta_d3_b16,alpha_beta,seed0_late_t69,0,normal,2,1→63,3526.0,0.023945458000525832,False,173,16,3
alpha_beta_d3_b16,alpha_beta,seed0_late_t69,0,normal,3,1→63,3526.0,0.023901915992610157,False,173,16,3
alpha_beta_d3_b16,alpha_beta,seed0_late_t69,0,normal,4,1→63,3526.0,0.023926208028569818,False,173,16,3
alpha_beta_d3_b16,alpha_beta,seed0_caution_t60,0,caution,0,63→19,296.5,0.015107583021745086,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed0_caution_t60,0,caution,1,63→19,296.5,0.015097041963599622,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed0_caution_t60,0,caution,2,63→19,296.5,0.015125749981962144,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed0_caution_t60,0,caution,3,63→19,296.5,0.015079541015438735,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed0_caution_t60,0,caution,4,63→19,296.5,0.015078208991326392,False,136,9,3
alpha_beta_d3_b16,alpha_beta,seed0_danger_t70,0,danger,0,63→1,146.5,0.009720708942040801,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed0_danger_t70,0,danger,1,63→1,146.5,0.009743666043505073,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed0_danger_t70,0,danger,2,63→1,146.5,0.009705458069220185,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed0_danger_t70,0,danger,3,63→1,146.5,0.009704041061922908,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed0_danger_t70,0,danger,4,63→1,146.5,0.009716959088109434,False,71,5,3
alpha_beta_d3_b16,alpha_beta,seed0_critical_t75,0,critical,0,63→63,999997.0,0.0017529589822515845,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed0_critical_t75,0,critical,1,63→63,999997.0,0.0017455830238759518,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed0_critical_t75,0,critical,2,63→63,999997.0,0.001744625042192638,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed0_critical_t75,0,critical,3,63→63,999997.0,0.0017327499808743596,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed0_critical_t75,0,critical,4,63→63,999997.0,0.0017361249774694443,False,21,3,3
alpha_beta_d3_b16,alpha_beta,seed1_early_t0,1,normal,0,20→20,916.5,0.05285729200113565,False,417,16,3
alpha_beta_d3_b16,alpha_beta,seed1_early_t0,1,normal,1,20→20,916.5,0.0520795420743525,False,417,16,3
alpha_beta_d3_b16,alpha_beta,seed1_early_t0,1,normal,2,20→20,916.5,0.05915837502107024,False,417,16,3
alpha_beta_d3_b16,alpha_beta,seed1_early_t0,1,normal,3,20→20,916.5,0.05257537495344877,False,417,16,3
alpha_beta_d3_b16,alpha_beta,seed1_early_t0,1,normal,4,20→20,916.5,0.052195334108546376,False,417,16,3
alpha_beta_d3_b16,alpha_beta,seed1_middle_t33,1,normal,0,1→63,734.0,0.06044512498192489,False,534,16,3
alpha_beta_d3_b16,alpha_beta,seed1_middle_t33,1,normal,1,1→63,734.0,0.05966679204721004,False,534,16,3
alpha_beta_d3_b16,alpha_beta,seed1_middle_t33,1,normal,2,1→63,734.0,0.05914016591850668,False,534,16,3
alpha_beta_d3_b16,alpha_beta,seed1_middle_t33,1,normal,3,1→63,734.0,0.059179874951951206,False,534,16,3
alpha_beta_d3_b16,alpha_beta,seed1_middle_t33,1,normal,4,1→63,734.0,0.05897029198240489,False,534,16,3
alpha_beta_d3_b16,alpha_beta,seed1_late_t57,1,normal,0,1→63,754.0,0.027928957948461175,False,218,16,3
alpha_beta_d3_b16,alpha_beta,seed1_late_t57,1,normal,1,1→63,754.0,0.028203708003275096,False,218,16,3
alpha_beta_d3_b16,alpha_beta,seed1_late_t57,1,normal,2,1→63,754.0,0.02797258400823921,False,218,16,3
