agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_ratio,elapsed_time_sec,end_id,initial_depth,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,max_depth,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,target_elapsed_ratio,target_time_sec,timed_out,turn
beam_negamax,43784,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.11491849203594029,0.007282288745045662,early,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.26410733303055167,0.26410733303055167,20,6,0.12515413668006659,1536,3622,0.0003370828926563263,6,2936,0,46720,3.708316944539547e-05,seed0_early_t0,fixed,0,0,0.11266718013212085,0.015689975349232554,50000,0,0.0,normal,3622,1.0,0.010221874807029963,-2351.0,0,20→20,8,,tuning,20,0.26410733303055167,1.0,False,0
beam_negamax,40047,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.10660976148210466,0.00714655383490026,middle,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.25533924996852875,0.25533924996852875,63,6,0.12533586844801903,1536,28,6.666872650384903e-06,6,2936,0,42983,1.8290942534804344e-05,seed0_middle_t27,fixed,0,0,0.11434976640157402,0.015528657240793109,111,0,0.0,normal,28,1.0,0.00010000006295740604,-2181.0,0,63→63,8,,tuning,63,0.25533924996852875,1.0,False,27
beam_negamax,39542,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.10715142707340419,0.007310448447242379,late,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.2593871250282973,0.2593871250282973,63,6,0.12751470692455769,1536,53,8.708098903298378e-06,6,2936,0,42478,1.850002445280552e-05,seed0_late_t49,fixed,0,0,0.11512264981865883,0.01657181023620069,790,0,0.0,normal,53,1.0,0.00015074992552399635,-2151.0,0,11→63,8,,tuning,11,0.2593871250282973,1.0,False,49
beam_negamax,40333,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.1676626610569656,0.010388264432549477,few_legal,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.3848508750088513,0.3848508750088513,63,6,0.1831391726154834,1536,27,5.58304600417614e-06,6,2936,0,43269,1.7958926036953926e-05,seed0_few_legal_t8,fixed,0,0,0.17939570569433272,0.022199746686965227,76,0,0.0,normal,27,1.0,9.27080400288105e-05,-1582.0,0,20→63,8,,tuning,20,0.3848508750088513,1.0,False,8
beam_negamax,40096,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.10165801178663969,0.006530500948429108,early_pruning,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.2419772499706596,0.2419772499706596,63,6,0.11815024702809751,1536,58,1.037493348121643e-05,6,2936,0,43032,1.808302477002144e-05,seed0_early_pruning_t17,fixed,0,0,0.1086536452639848,0.014983649831265211,490,0,0.0,normal,58,1.0,0.0001612498890608549,-2271.0,0,28→63,8,,tuning,28,0.2419772499706596,1.0,False,17
beam_negamax,47484,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.12167822290211916,0.007262812228873372,early,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.28134458395652473,0.28134458395652473,20,6,0.13549286196939647,1536,3603,0.00032145786099135876,6,2936,0,50420,3.17930243909359e-05,seed1_early_t0,fixed,0,0,0.12001357832923532,0.01593747572042048,50000,0,0.0,normal,3603,1.0,0.009547417052090168,-2339.0,1,20→20,8,,tuning,20,0.28134458395652473,1.0,False,0
beam_negamax,42174,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.10878199664875865,0.006648581707850099,middle,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.26134124980308115,0.26134124980308115,63,6,0.13009304786100984,1536,64,1.0291114449501038e-05,6,2936,0,45110,1.7333775758743286e-05,seed1_middle_t120,fixed,0,0,0.11587707232683897,0.015167004894465208,881,0,0.0,normal,64,1.0,0.00017649983055889606,-2199.0,1,9→63,8,,tuning,9,0.26134124980308115,1.0,False,120
beam_negamax,42181,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.107372569385916,0.006588042248040438,late,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.2566757909953594,0.2566757909953594,63,6,0.12704389239661396,1536,41,6.417045369744301e-06,6,2936,0,45117,1.654098741710186e-05,seed1_late_t236,fixed,0,0,0.11442271573469043,0.015059558907523751,90,0,0.0,normal,41,1.0,0.00012666592374444008,-2199.0,1,35→63,8,,tuning,35,0.2566757909953594,1.0,False,236
beam_negamax,42220,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.1262728674337268,0.008414191426709294,few_legal,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.30349587509408593,0.30349587509408593,63,6,0.1490035925526172,1536,23,4.915986210107803e-06,6,2936,0,45156,1.7167069017887115e-05,seed1_few_legal_t115,fixed,0,0,0.13560664793476462,0.018784551648423076,69,0,0.0,normal,23,1.0,7.899990305304527e-05,-2219.0,1,20→63,8,,tuning,20,0.30349587509408593,1.0,False,115
beam_negamax,42503,8-6-4-2,"{""0"": 8, ""1"": 6, ""2"": 4, ""3"": 2, ""4"": 2, ""5"": 2}",,0.11808254080824554,0.007648282451555133,early_pruning,8,beam_negamax_d6_w8-6-4-2,0,6,6,6,adaptive_disabled,False,6,0.2835500000510365,0.2835500000510365,63,6,0.1397338374517858,1536,63,9.667128324508667e-06,6,2936,0,45439,1.9458821043372154e-05,seed1_early_pruning_t75,fixed,0,0,0.12636581901460886,0.017240009736269712,771,0,0.0,normal,63,1.0,0.00018120789900422096,-2199.0,1,2→63,8,,tuning,2,0.2835500000510365,1.0,False,75
