position_id,seed,split,category,turn,depth,branch_limit,full_config_id,selective_config_id,full_complete,selective_complete,comparable,full_selected_edge,selective_selected_edge,move_agreement,score_agreement,full_score,selective_score,full_time_sec,selective_time_sec,selective_speedup,full_nodes,selective_nodes,selective_node_ratio,full_root_candidates,selective_root_candidates,full_root_completion_rate,selective_root_completion_rate,full_timed_out,selective_timed_out
seed2_late_t60,2,validation,late,60,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,63→52,63→52,True,True,248.0,248.0,0.01491412497125566,0.012380250031128526,1.2046707403934522,156,127,0.8141025641025641,10,8,1.0,1.0,False,False
seed2_middle_t32,2,validation,middle,32,3,8,full_alpha_beta_d3,selective_alpha_beta_d3_b8,True,True,True,55→20,55→63,False,False,1326.5,1117.5,0.05958541692234576,0.01819320791400969,3.2751462635933475,593,218,0.3676222596964587,32,8,1.0,1.0,False,False
seed0_early_pruning_t17,0,tuning,early_pruning,17,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,28→58,28→58,True,True,369.5,369.5,0.08009295794181526,0.037610207917168736,2.129553713667547,865,316,0.3653179190751445,37,12,1.0,1.0,False,False
seed0_early_t0,0,tuning,early,0,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,False,True,False,20→20,20→20,,,1495.4297826086956,1495.4297826086956,1.0000617909245193,0.025505792116746306,39.20920339768276,10001,213,0.0212978702129787,2248,12,0.3238434163701068,1.0,True,False
seed0_few_legal_t1,0,tuning,few_legal,1,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,35→32,35→32,True,True,429.5,429.5,0.026047541992738843,0.020812832983210683,1.2515135259938375,283,232,0.8197879858657244,8,8,1.0,1.0,False,False
seed0_late_t49,0,tuning,late,49,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,11→46,11→46,True,True,308.0,308.0,0.09619408403523266,0.027512833941727877,3.496334991843135,1008,333,0.33035714285714285,32,12,1.0,1.0,False,False
seed0_middle_t27,0,tuning,middle,27,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,63→46,63→46,True,True,239.5,239.5,0.014998999889940023,0.012686749920248985,1.1822570779928843,162,143,0.8827160493827161,9,9,1.0,1.0,False,False
seed1_early_pruning_t75,1,tuning,early_pruning,75,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,2→55,2→55,True,True,664.0,664.0,0.1567093338817358,0.0273632921744138,5.726991214466063,1502,322,0.21438082556591212,37,12,1.0,1.0,False,False
seed1_early_t0,1,tuning,early,0,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,False,True,False,0→20,0→20,,,1456.5,1456.5,1.0000374999362975,0.030680458061397076,32.59525975573911,9669,301,0.031130416795945807,2284,12,0.2105954465849387,1.0,True,False
seed1_late_t236,1,tuning,late,236,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,35→56,35→37,False,False,624.0,418.5,0.02616475010290742,0.013530584052205086,1.9337487577739365,300,174,0.58,7,7,1.0,1.0,False,False
seed1_middle_t120,1,tuning,middle,120,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,9→20,9→35,False,False,1278.6854347826086,708.5,0.13070108299143612,0.030193208949640393,4.328823849410441,1248,368,0.2948717948717949,47,12,1.0,1.0,False,False
seed2_early_pruning_t10,2,validation,early_pruning,10,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,63→59,63→59,True,True,388.0,388.0,0.020170124946162105,0.016392790945246816,1.2304265340497464,226,179,0.7920353982300885,10,10,1.0,1.0,False,False
seed2_early_t0,2,validation,early,0,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,False,True,False,0→20,0→35,,,1177.5,789.0,1.000032417010516,0.03208408388309181,31.16911240646423,9561,339,0.03545654220269846,2252,12,0.14431616341030196,1.0,True,False
seed2_few_legal_t64,2,validation,few_legal,64,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,20→2,20→2,True,False,1326.5,1387.5205555555556,0.040222207782790065,0.013635957846418023,2.9497163481886153,295,125,0.423728813559322,6,6,1.0,1.0,False,False
seed2_late_t60,2,validation,late,60,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,63→52,63→52,True,True,248.0,248.0,0.01491412497125566,0.015296250116080046,0.975018377581138,156,153,0.9807692307692307,10,10,1.0,1.0,False,False
seed2_middle_t32,2,validation,middle,32,3,12,full_alpha_beta_d3,selective_alpha_beta_d3_b12,True,True,True,55→20,55→63,False,False,1326.5,1117.5,0.05958541692234576,0.027907541021704674,2.1351009347618297,593,321,0.5413153456998314,32,12,1.0,1.0,False,False
seed0_early_pruning_t17,0,tuning,early_pruning,17,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,28→58,28→58,True,True,369.5,369.5,0.08009295794181526,0.038186749909073114,2.0974017985957296,865,420,0.48554913294797686,37,16,1.0,1.0,False,False
seed0_early_t0,0,tuning,early,0,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,False,True,False,20→20,20→20,,,1495.4297826086956,1495.4297826086956,1.0000617909245193,0.030781458131968975,32.48909738573678,10001,269,0.0268973102689731,2248,16,0.3238434163701068,1.0,True,False
seed0_few_legal_t1,0,tuning,few_legal,1,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,35→32,35→32,True,True,429.5,429.5,0.026047541992738843,0.021941583137959242,1.1871313855961576,283,244,0.8621908127208481,8,8,1.0,1.0,False,False
seed0_late_t49,0,tuning,late,49,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,11→46,11→46,True,True,308.0,308.0,0.09619408403523266,0.04527662508189678,2.12458600572008,1008,507,0.5029761904761905,32,16,1.0,1.0,False,False
seed0_middle_t27,0,tuning,middle,27,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,63→46,63→46,True,True,239.5,239.5,0.014998999889940023,0.014302332885563374,1.0487100258364046,162,159,0.9814814814814815,9,9,1.0,1.0,False,False
seed1_early_pruning_t75,1,tuning,early_pruning,75,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,2→55,2→55,True,True,664.0,664.0,0.1567093338817358,0.055082499980926514,2.8449931273271862,1502,627,0.4174434087882823,37,16,1.0,1.0,False,False
seed1_early_t0,1,tuning,early,0,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,False,True,False,0→20,0→20,,,1456.5,1456.5,1.0000374999362975,0.05278475000523031,18.945576133963055,9669,557,0.057606784569241905,2284,16,0.2105954465849387,1.0,True,False
seed1_late_t236,1,tuning,late,236,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,35→56,35→56,True,True,624.0,624.0,0.02616475010290742,0.01778166717849672,1.4714452722716755,300,219,0.73,7,7,1.0,1.0,False,False
seed1_middle_t120,1,tuning,middle,120,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,9→20,9→35,False,False,1278.6854347826086,708.5,0.13070108299143612,0.046664000023156404,2.8008975425719487,1248,531,0.4254807692307692,47,16,1.0,1.0,False,False
seed2_early_pruning_t10,2,validation,early_pruning,10,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,63→59,63→59,True,True,388.0,388.0,0.020170124946162105,0.017329083057120442,1.1639464638536827,226,190,0.8407079646017699,10,10,1.0,1.0,False,False
seed2_early_t0,2,validation,early,0,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,False,True,False,0→20,0→35,,,1177.5,789.0,1.000032417010516,0.05578858312219381,17.925395502878132,9561,619,0.06474218178014852,2252,16,0.14431616341030196,1.0,True,False
seed2_few_legal_t64,2,validation,few_legal,64,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,20→2,20→2,True,True,1326.5,1326.5,0.040222207782790065,0.018402291927486658,2.1857172976759487,295,169,0.5728813559322034,6,6,1.0,1.0,False,False
seed2_late_t60,2,validation,late,60,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,63→52,63→52,True,True,248.0,248.0,0.01491412497125566,0.015185541938990355,0.9821266195947999,156,156,1.0,10,10,1.0,1.0,False,False
seed2_middle_t32,2,validation,middle,32,3,16,full_alpha_beta_d3,selective_alpha_beta_d3_b16,True,True,True,55→20,55→63,False,False,1326.5,1117.5,0.05958541692234576,0.054887000005692244,1.085601634561303,593,644,1.0860033726812817,32,16,1.0,1.0,False,False
seed0_early_pruning_t17,0,tuning,early_pruning,17,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,28→42,28→63,False,False,-369.5,-349.5,0.3129662498831749,0.0423102080821991,7.3969442380229555,3981,553,0.13890982165285104,37,8,1.0,1.0,False,False
seed0_early_t0,0,tuning,early,0,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,False,True,False,63→63,1→35,,,-399.5,-429.5,1.0000362498685718,0.04259712505154312,23.476613707110843,12521,474,0.037856401245906876,2248,8,0.12677935943060498,1.0,True,False
seed0_few_legal_t1,0,tuning,few_legal,1,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,35→63,35→63,True,True,-419.5,-419.5,0.061022625071927905,0.031189792091026902,1.9564934865174595,726,405,0.5578512396694215,8,8,1.0,1.0,False,False
seed0_late_t49,0,tuning,late,49,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,11→46,11→46,True,True,-308.0,-308.0,0.3960110410116613,0.05841787485405803,6.778936104762328,5212,778,0.14927091327705294,32,8,1.0,1.0,False,False
seed0_middle_t27,0,tuning,middle,27,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,63→28,63→46,False,True,-308.0,-308.0,0.10661279107443988,0.042769249994307756,2.4927439945434906,1099,526,0.4786169244767971,9,8,1.0,1.0,False,False
seed1_early_pruning_t75,1,tuning,early_pruning,75,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,2→61,2→55,False,True,-664.0,-664.0,0.31302637490443885,0.038306625094264746,8.171598884896415,3725,475,0.12751677852348994,37,8,1.0,1.0,False,False
seed1_early_t0,1,tuning,early,0,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,False,True,False,63→63,4→35,,,-488.5,-518.5,1.0000333751086146,0.042304249946027994,23.63907589389867,14191,496,0.03495172996969911,2284,8,0.1786339754816112,1.0,True,False
seed1_late_t236,1,tuning,late,236,4,8,full_alpha_beta_d4,selective_alpha_beta_d4_b8,True,True,True,35→56,35→4,False,False,-668.5,-1122.2011764705883,0.16947829187847674,0.055247124982997775,3.0676400252616483,1872,677,0.36164529914529914,7,7,1.0,1.0,False,False
