dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
250,0,ひ,5,0,0,0,0.000000
250,0,ぴ,0,2,0,0,0.000000
250,0,ふ,5,0,0,0,0.000000
250,0,ぶ,2,1,0,0,0.000000
250,0,ぷ,2,1,0,0,0.000000
250,0,へ,1,0,0,0,0.000000
250,0,べ,1,0,0,0,0.000000
250,0,ぺ,2,0,0,0,0.000000
250,0,ほ,4,1,0,0,0.000000
250,0,ぼ,2,2,0,0,0.000000
250,0,ま,5,4,0,0,0.000000
250,0,み,4,4,0,0,0.000000
250,0,む,1,4,0,0,0.000000
250,0,め,8,0,0,0,0.000000
250,0,も,2,0,0,0,0.000000
250,0,や,0,6,0,0,0.000000
250,0,ゆ,2,2,0,0,0.000000
250,0,よ,5,2,0,0,0.000000
250,0,ら,0,3,0,0,0.000000
250,0,り,5,10,0,0,0.000000
250,0,る,0,4,0,0,0.000000
250,0,れ,3,4,0,0,0.000000
250,0,ろ,1,5,0,0,0.000000
250,0,わ,1,1,0,0,0.000000
250,0,ん,0,39,0,0,0.000000
300,0,あ,17,9,0,0,0.000000
300,0,い,10,22,0,0,0.000000
300,0,う,4,33,0,0,0.000000
300,0,え,8,3,0,0,0.000000
300,0,お,8,0,0,0,0.000000
300,0,か,9,4,0,0,0.000000
300,0,が,6,1,0,0,0.000000
300,0,き,5,13,0,1,0.000000
300,0,ぎ,3,2,0,0,0.000000
300,0,く,3,26,2,2,1.000000
300,0,ぐ,0,2,0,0,0.000000
300,0,け,5,1,0,0,0.000000
300,0,げ,2,2,0,0,0.000000
300,0,こ,13,3,0,0,0.000000
300,0,ご,1,2,0,0,0.000000
300,0,さ,11,2,0,0,0.000000
300,0,ざ,3,1,0,0,0.000000
300,0,し,23,8,0,0,0.000000
300,0,じ,11,4,0,0,0.000000
300,0,す,12,5,0,0,0.000000
300,0,ず,0,1,0,0,0.000000
300,0,せ,5,2,0,0,0.000000
300,0,ぜ,1,0,0,0,0.000000
300,0,そ,5,1,0,0,0.000000
300,0,ぞ,1,0,0,0,0.000000
300,0,た,4,3,0,0,0.000000
300,0,だ,3,0,0,0,0.000000
300,0,ち,7,7,0,0,0.000000
300,0,つ,1,9,0,0,0.000000
300,0,て,3,4,0,0,0.000000
300,0,で,4,0,0,0,0.000000
300,0,と,10,11,0,0,0.000000
300,0,ど,2,4,0,0,0.000000
300,0,な,4,1,0,0,0.000000
300,0,に,9,1,0,0,0.000000
300,0,ね,0,2,0,0,0.000000
300,0,の,2,0,0,0,0.000000
300,0,は,4,1,0,0,0.000000
300,0,ば,1,1,0,0,0.000000
300,0,ぱ,3,0,0,0,0.000000
300,0,ひ,7,1,0,0,0.000000
300,0,ぴ,0,2,0,0,0.000000
300,0,ふ,6,0,0,0,0.000000
300,0,ぶ,3,1,0,0,0.000000
300,0,ぷ,2,2,0,0,0.000000
300,0,へ,1,0,0,0,0.000000
300,0,べ,1,0,0,0,0.000000
300,0,ぺ,2,0,0,0,0.000000
300,0,ほ,4,1,0,0,0.000000
300,0,ぼ,2,2,0,0,0.000000
300,0,ま,6,4,0,0,0.000000
300,0,み,8,6,0,0,0.000000
300,0,む,1,5,0,0,0.000000
300,0,め,10,1,0,0,0.000000
300,0,も,3,0,0,0,0.000000
300,0,や,0,6,0,0,0.000000
300,0,ゆ,2,2,0,0,0.000000
300,0,よ,6,2,0,0,0.000000
300,0,ら,0,3,0,0,0.000000
300,0,り,7,11,0,0,0.000000
300,0,る,0,5,0,0,0.000000
300,0,れ,3,4,0,0,0.000000
300,0,ろ,2,5,0,0,0.000000
300,0,わ,1,1,0,0,0.000000
300,0,ん,0,45,0,0,0.000000
350,0,あ,18,11,0,0,0.000000
350,0,い,10,27,0,0,0.000000
350,0,う,4,39,0,0,0.000000
350,0,え,10,3,0,0,0.000000
350,0,お,9,0,0,0,0.000000
350,0,か,10,5,0,0,0.000000
350,0,が,6,1,0,0,0.000000
350,0,き,7,13,0,1,0.000000
350,0,ぎ,3,2,0,0,0.000000
350,0,く,5,31,0,2,0.000000
350,0,ぐ,0,3,0,0,0.000000
350,0,け,5,2,0,0,0.000000
350,0,げ,2,2,0,0,0.000000
350,0,こ,15,4,0,1,0.000000
350,0,ご,1,2,0,0,0.000000
350,0,さ,11,2,0,0,0.000000
350,0,ざ,3,1,0,0,0.000000
350,0,し,25,9,0,0,0.000000
350,0,じ,13,4,0,1,0.000000
350,0,す,12,5,0,1,0.000000
350,0,ず,0,1,0,0,0.000000
350,0,せ,10,2,0,0,0.000000
350,0,ぜ,1,0,0,0,0.000000
350,0,そ,6,1,0,0,0.000000
350,0,ぞ,1,0,0,0,0.000000
350,0,た,4,4,0,0,0.000000
350,0,だ,3,0,0,0,0.000000
350,0,ち,10,7,0,0,0.000000
350,0,つ,1,10,0,0,0.000000
350,0,て,4,7,1,1,1.000000
350,0,で,4,0,0,0,0.000000
350,0,と,10,15,0,0,0.000000
350,0,ど,3,5,0,0,0.000000
350,0,な,4,1,0,0,0.000000
350,0,に,10,1,0,0,0.000000
350,0,ぬ,1,0,0,0,0.000000
350,0,ね,0,2,0,0,0.000000
350,0,の,2,0,0,0,0.000000
350,0,は,5,1,0,0,0.000000
350,0,ば,2,2,0,0,0.000000
350,0,ぱ,4,0,0,0,0.000000
350,0,ひ,9,1,0,0,0.000000
350,0,び,0,1,0,0,0.000000
350,0,ぴ,0,2,0,0,0.000000
350,0,ふ,8,2,0,0,0.000000
350,0,ぶ,3,1,0,0,0.000000
350,0,ぷ,2,2,0,0,0.000000
350,0,へ,2,0,0,0,0.000000
350,0,べ,2,0,0,0,0.000000
350,0,ぺ,2,0,0,0,0.000000
350,0,ほ,5,1,0,0,0.000000
350,0,ぼ,2,2,0,0,0.000000
350,0,ま,7,4,0,0,0.000000
350,0,み,9,6,0,0,0.000000
350,0,む,1,8,0,0,0.000000
350,0,め,11,1,0,0,0.000000
350,0,も,4,0,0,0,0.000000
350,0,や,0,6,0,0,0.000000
350,0,ゆ,4,3,0,0,0.000000
350,0,よ,7,2,0,0,0.000000
350,0,ら,0,6,0,0,0.000000
350,0,り,7,11,0,0,0.000000
350,0,る,0,6,0,0,0.000000
