beam_edge,beam_end_id,beam_ordering_score,beam_search_score,beam_start_id,beam_won,candidate_count,dict_size,match_id,match_winner,phase,reference_edge,reference_end_id,reference_ordering_score,reference_rank,reference_search_score,reference_start_id,required_char,risk_level,same_edge,seed,top_12,top_16,top_2,top_4,top_6,top_8,turn,widened_edge,widened_selects_reference
や→ぎ,8,-2756.5,646.5,58,False,40,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,late,や→つ,28,-3853.0,11,2144.5,58,や,normal,False,1,True,True,False,False,False,False,182,や→ぎ,False
る→り,62,-7018.5,616.5,63,False,15,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,late,る→い,1,-11229.5,11,666.5,63,る,normal,False,1,True,True,False,False,False,False,184,る→と,False
る→と,31,-8345.5,566.5,63,False,14,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,late,る→い,1,-11229.5,10,616.5,63,る,normal,False,1,True,True,False,False,False,False,188,る→と,False
る→る,63,-626.5,-999994.0,63,False,13,20000,D20000_seed1_pvs_vs_beam_negamax,pvs,late,る→い,1,-11229.5,9,586.5,63,る,normal,False,1,True,True,False,False,False,False,190,る→い,True
く→る,63,-237.5,7897.289307479225,9,False,55,20000,D20000_seed2_alpha_beta_vs_beam_negamax,alpha_beta,late,く→む,55,-2706.0,9,8083.843823529412,9,く,normal,False,2,True,True,False,False,False,False,124,く→る,False
ふ→む,55,-2706.0,10874.179393939394,44,False,53,20000,D20000_seed2_alpha_beta_vs_beam_negamax,alpha_beta,late,ふ→や,58,-3243.0,13,10874.218666666668,44,ふ,normal,False,2,False,True,False,False,False,False,130,ふ→る,False
よ→ず,20,-464.5,167.5,60,False,51,20000,D20000_seed2_alpha_beta_vs_beam_negamax,alpha_beta,late,よ→や,58,-3243.0,12,10874.177454545454,60,よ,normal,False,2,True,True,False,False,False,False,132,よ→ず,False
よ→ず,20,-444.5,137.5,60,False,51,20000,D20000_seed2_alpha_beta_vs_beam_negamax,alpha_beta,late,よ→や,58,-3243.0,12,10874.18909090909,60,よ,normal,False,2,True,True,False,False,False,False,134,よ→ず,False
よ→ぐ,10,-2074.5,107.5,60,False,50,20000,D20000_seed2_alpha_beta_vs_beam_negamax,alpha_beta,late,よ→や,58,-3243.0,11,10874.241454545454,60,よ,normal,False,2,True,True,False,False,False,False,136,よ→ぐ,False
く→る,63,-237.5,7897.282659279778,9,False,55,20000,D20000_seed2_beam_negamax_vs_alpha_beta,alpha_beta,late,く→む,55,-2706.0,9,8083.839705882353,9,く,normal,False,2,True,True,False,False,False,False,123,く→る,False
ふ→む,55,-2706.0,10874.176484848485,44,False,53,20000,D20000_seed2_beam_negamax_vs_alpha_beta,alpha_beta,late,ふ→や,58,-3243.0,13,10874.215757575757,44,ふ,normal,False,2,False,True,False,False,False,False,129,ふ→る,False
よ→ず,20,-464.5,167.5,60,False,51,20000,D20000_seed2_beam_negamax_vs_alpha_beta,alpha_beta,late,よ→や,58,-3243.0,12,10874.174545454545,60,よ,normal,False,2,True,True,False,False,False,False,131,よ→ず,False
よ→ず,20,-444.5,137.5,60,False,51,20000,D20000_seed2_beam_negamax_vs_alpha_beta,alpha_beta,late,よ→や,58,-3243.0,12,10874.186181818182,60,よ,normal,False,2,True,True,False,False,False,False,133,よ→ず,False
よ→ぐ,10,-2074.5,107.5,60,False,50,20000,D20000_seed2_beam_negamax_vs_alpha_beta,alpha_beta,late,よ→や,58,-3243.0,11,10874.238545454546,60,よ,normal,False,2,True,True,False,False,False,False,135,よ→ぐ,False
く→る,63,-237.5,7897.282659279778,9,False,55,20000,D20000_seed2_beam_negamax_vs_pvs,pvs,late,く→む,55,-2706.0,9,8083.839705882353,9,く,normal,False,2,True,True,False,False,False,False,123,く→る,False
ふ→む,55,-2706.0,10874.176484848485,44,False,53,20000,D20000_seed2_beam_negamax_vs_pvs,pvs,late,ふ→や,58,-3243.0,13,10874.215757575757,44,ふ,normal,False,2,False,True,False,False,False,False,129,ふ→る,False
よ→ず,20,-464.5,167.5,60,False,51,20000,D20000_seed2_beam_negamax_vs_pvs,pvs,late,よ→や,58,-3243.0,12,10874.174545454545,60,よ,normal,False,2,True,True,False,False,False,False,131,よ→ず,False
よ→ず,20,-444.5,137.5,60,False,51,20000,D20000_seed2_beam_negamax_vs_pvs,pvs,late,よ→や,58,-3243.0,12,10874.186181818182,60,よ,normal,False,2,True,True,False,False,False,False,133,よ→ず,False
よ→ぐ,10,-2074.5,107.5,60,False,50,20000,D20000_seed2_beam_negamax_vs_pvs,pvs,late,よ→や,58,-3243.0,11,10874.238545454546,60,よ,normal,False,2,True,True,False,False,False,False,135,よ→ぐ,False
く→る,63,-237.5,7897.289307479225,9,False,55,20000,D20000_seed2_pvs_vs_beam_negamax,pvs,late,く→む,55,-2706.0,9,8083.843823529412,9,く,normal,False,2,True,True,False,False,False,False,124,く→る,False
ふ→む,55,-2706.0,10874.179393939394,44,False,53,20000,D20000_seed2_pvs_vs_beam_negamax,pvs,late,ふ→や,58,-3243.0,13,10874.218666666668,44,ふ,normal,False,2,False,True,False,False,False,False,130,ふ→る,False
よ→ず,20,-464.5,167.5,60,False,51,20000,D20000_seed2_pvs_vs_beam_negamax,pvs,late,よ→や,58,-3243.0,12,10874.177454545454,60,よ,normal,False,2,True,True,False,False,False,False,132,よ→ず,False
よ→ず,20,-444.5,137.5,60,False,51,20000,D20000_seed2_pvs_vs_beam_negamax,pvs,late,よ→や,58,-3243.0,12,10874.18909090909,60,よ,normal,False,2,True,True,False,False,False,False,134,よ→ず,False
よ→ぐ,10,-2074.5,107.5,60,False,50,20000,D20000_seed2_pvs_vs_beam_negamax,pvs,late,よ→や,58,-3243.0,11,10874.241454545454,60,よ,normal,False,2,True,True,False,False,False,False,136,よ→ぐ,False
