match_id,turn,risk_level,beam_won,same_edge,reference_rank,reference_risk_level,reference_attack_score,reference_survival_score,reference_survival_weight,reference_total_score,reference_opponent_legal_word_count,reference_opponent_safe_word_count,reference_opponent_active_edge_type_count,reference_opponent_safe_edge_type_count,reference_opponent_destination_count,reference_opponent_safe_destination_count,reference_own_safe_word_count,reference_own_safe_edge_type_count,reference_own_safe_destination_count,beam_risk_level,beam_attack_score,beam_survival_score,beam_survival_weight,beam_total_score,beam_opponent_legal_word_count,beam_opponent_safe_word_count,beam_opponent_active_edge_type_count,beam_opponent_safe_edge_type_count,beam_opponent_destination_count,beam_opponent_safe_destination_count,beam_own_safe_word_count,beam_own_safe_edge_type_count,beam_own_safe_destination_count
D20000_seed1_beam_negamax_vs_alpha_beta,19,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,126,37,37,normal,-2184.5,0.0,0.0,-2184.5,99,88,33,32,33,32,126,37,37
D20000_seed1_beam_negamax_vs_alpha_beta,21,normal,False,False,1,normal,-916.5,0.0,0.0,-916.5,40,33,20,19,20,19,125,36,36,normal,-2588.5,0.0,0.0,-2588.5,123,100,38,37,38,37,125,36,36
D20000_seed1_beam_negamax_vs_alpha_beta,23,normal,False,True,1,normal,-3586.5,0.0,0.0,-3586.5,176,149,36,35,36,35,21,11,11,normal,-3586.5,0.0,0.0,-3586.5,176,149,36,35,36,35,21,11,11
D20000_seed1_beam_negamax_vs_alpha_beta,25,normal,False,True,1,normal,-4147.0,0.0,0.0,-4147.0,212,166,40,39,40,39,20,10,10,normal,-4147.0,0.0,0.0,-4147.0,212,166,40,39,40,39,20,10,10
D20000_seed1_beam_negamax_vs_alpha_beta,27,normal,False,True,1,normal,-4343.0,0.0,0.0,-4343.0,201,187,48,47,48,47,19,9,9,normal,-4343.0,0.0,0.0,-4343.0,201,187,48,47,48,47,19,9,9
D20000_seed1_beam_negamax_vs_alpha_beta,29,normal,False,False,6,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,124,35,35,normal,-3086.5,0.0,0.0,-3086.5,150,123,38,37,38,37,124,35,35
D20000_seed1_beam_negamax_vs_alpha_beta,31,normal,False,False,6,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,123,35,35,normal,-3066.5,0.0,0.0,-3066.5,149,122,38,37,38,37,123,35,35
D20000_seed1_beam_negamax_vs_alpha_beta,33,normal,False,False,6,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,122,35,35,normal,-3036.5,0.0,0.0,-3036.5,148,121,37,36,37,36,122,35,35
D20000_seed1_beam_negamax_vs_alpha_beta,35,normal,False,False,1,normal,-2997.5,0.0,0.0,-2997.5,146,121,35,34,35,34,61,17,17,normal,-6286.5,0.0,0.0,-6286.5,316,269,47,46,47,46,61,17,17
D20000_seed1_beam_negamax_vs_alpha_beta,37,normal,False,False,5,normal,-3443.0,0.0,0.0,-3443.0,158,144,44,43,44,43,121,34,34,normal,-3989.0,0.0,0.0,-3989.0,191,169,41,40,41,40,121,34,34
