match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_monte_carlo_vs_graph_control_rep0,2,1000,80-100%,0.999,True,1,0.0,0.0,1,1,True,False,True,True,neither,True,True,0.00024391699116677046,0.00010562501847743988,1.2999982573091984e-05,1.858395989984274e-05
D1000_seed0_monte_carlo_vs_graph_control_rep0,4,1000,80-100%,0.997,True,5,2000000000.0,632455532.0336759,1,5,False,False,False,False,both,,,0.001005958067253232,0.0005483758868649602,3.9710081182420254e-05,7.187610026448965e-05
D1000_seed0_monte_carlo_vs_graph_control_rep1,2,1000,80-100%,0.999,False,2,2.4141182932652008,1.2070591466326004,1,2,False,False,True,True,both,,,0.00047995790373533964,0.00021304201800376177,2.5124987587332726e-05,2.9709073714911938e-05
D1000_seed0_monte_carlo_vs_graph_control_rep1,4,1000,80-100%,0.997,False,9,1000000011.4097964,314269683.954856,1,9,False,False,False,False,both,,,0.001997999963350594,0.0009217929327860475,9.904301259666681e-05,0.0001493740128353238
D1000_seed0_minimax_vs_graph_control_rep0,2,1000,80-100%,0.999,False,2,1000000010.3216455,500000005.16082275,1,2,False,False,False,False,both,,,0.00036808301229029894,0.0002002089750021696,1.2999982573091984e-05,2.3458153009414673e-05
D1000_seed0_minimax_vs_graph_control_rep0,4,1000,80-100%,0.997,False,7,1000000011.0309541,349927109.83747214,1,7,False,False,False,False,both,,,0.001500708982348442,0.0007029562257230282,7.129204459488392e-05,0.00012179173063486814
D1000_seed0_minimax_vs_graph_control_rep0,6,1000,80-100%,0.995,False,7,1.0410651994719853,0.34747408818762354,1,7,False,False,True,True,local_only,True,False,0.0017054580384865403,0.0007419149624183774,8.39998247101903e-05,0.00014387327246367931
D1000_seed0_minimax_vs_graph_control_rep0,8,1000,80-100%,0.993,False,4,1000000010.8069665,433012706.4276873,1,4,False,False,False,False,both,,,0.0008246250217780471,0.0004008327377960086,3.691599704325199e-05,6.62070233374834e-05
D1000_seed0_minimax_vs_graph_control_rep0,10,1000,80-100%,0.991,False,6,0.9426455870059325,0.28023576885925844,1,6,False,False,True,True,local_only,,,0.0014396250480785966,0.0006071238312870264,7.391709368675947e-05,0.00012903986498713493
D1000_seed0_minimax_vs_graph_control_rep0,12,1000,80-100%,0.989,False,4,0.6004458410237152,0.22492898330201655,1,4,False,False,True,True,local_only,,,0.0009698339272290468,0.00041070813313126564,4.950002767145634e-05,8.916587103158236e-05
D1000_seed0_minimax_vs_graph_control_rep0,14,1000,80-100%,0.987,False,8,1000000012.4794904,330718917.55052084,1,8,False,False,False,False,both,,,0.001733458018861711,0.0008129579946398735,8.537597022950649e-05,0.00012820702977478504
D1000_seed0_minimax_vs_graph_control_rep0,16,1000,80-100%,0.985,False,1,0.0,0.0,1,1,True,False,True,True,neither,,,0.00023479200899600983,0.00010137492790818214,1.2665987014770508e-05,1.950003206729889e-05
D1000_seed0_minimax_vs_graph_control_rep0,18,1000,80-100%,0.983,False,7,0.8039781459896123,0.30923576883347403,1,7,False,False,True,True,local_only,True,False,0.0016470830887556076,0.0007097941124811769,8.720776531845331e-05,0.0001395420404151082
D1000_seed0_minimax_vs_graph_control_rep0,20,1000,80-100%,0.981,False,3,0.3615939883449535,0.14808894001399647,1,3,False,False,True,True,local_only,,,0.000722041935659945,0.00030037504620850086,3.775092773139477e-05,6.874999962747097e-05
