match_id,turn,risk_level,root_candidate_count,nodes_searched,elapsed_time_sec,null_window_searches,research_count,research_rate,had_research
D10000_seed0_beam_negamax_vs_pvs,36,normal,31,1927,0.253317,1241,26,0.020950846091861403,True
D10000_seed0_beam_negamax_vs_pvs,38,normal,24,1304,0.167736,946,17,0.017970401691331923,True
D10000_seed0_beam_negamax_vs_pvs,40,normal,18,1278,0.170048,854,13,0.01522248243559719,True
D10000_seed0_beam_negamax_vs_pvs,42,normal,43,1115,0.152105,745,10,0.013422818791946308,True
D10000_seed0_beam_negamax_vs_pvs,44,normal,28,702,0.087699,497,3,0.006036217303822937,True
D10000_seed0_beam_negamax_vs_pvs,46,normal,37,633,0.072361,445,3,0.006741573033707865,True
D10000_seed0_beam_negamax_vs_pvs,48,normal,39,465,0.050105,321,2,0.006230529595015576,True
D10000_seed0_beam_negamax_vs_pvs,50,normal,52,455,0.046577,310,2,0.0064516129032258064,True
D10000_seed0_beam_negamax_vs_pvs,52,normal,60,385,0.03739,255,2,0.00784313725490196,True
D10000_seed0_beam_negamax_vs_pvs,54,normal,47,469,0.044564,303,2,0.006600660066006601,True
D10000_seed0_beam_negamax_vs_pvs,56,normal,42,320,0.031674,213,1,0.004694835680751174,True
D10000_seed0_beam_negamax_vs_pvs,58,normal,47,197,0.019481,122,0,0.0,False
D10000_seed0_beam_negamax_vs_pvs,60,normal,36,255,0.024773,170,0,0.0,False
