exception,first_agent,first_avg_time_sec,first_target,first_timeout_count,invalid_move,loss_reason,match_id,runtime,second_agent,second_avg_time_sec,second_target,second_timeout_count,seed,turn_count,winner
,pvs,0.21632945843157358,improved_adaptive_pvs,1,False,ended_with_n,D5000_seed1_improved_adaptive_pvs_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.10529322612897626,improved_adaptive_beam_negamax,0,1,15,second
,pvs,0.3642423447357335,improved_adaptive_pvs,1,False,ended_with_n,D5000_seed1_improved_adaptive_pvs_vs_improved_fixed_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.5457669079090314,improved_fixed_pvs,6,1,96,first
,alpha_beta,0.10853605633875464,improved_fixed_alpha_beta,0,False,ended_with_n,D5000_seed1_improved_fixed_alpha_beta_vs_baseline_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.14449958063778467,baseline_alpha_beta,1,1,33,second
,alpha_beta,0.19748599505692255,improved_fixed_alpha_beta,0,False,ended_with_n,D5000_seed1_improved_fixed_alpha_beta_vs_improved_adaptive_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,alpha_beta,0.18765322398394346,improved_adaptive_alpha_beta,0,1,32,first
,beam_negamax,0.12624291059328244,improved_fixed_beam_negamax,0,False,ended_with_n,D5000_seed1_improved_fixed_beam_negamax_vs_baseline_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.13367435959854015,baseline_beam_negamax,0,1,39,second
,beam_negamax,0.2076755583868362,improved_fixed_beam_negamax,0,False,ended_with_n,D5000_seed1_improved_fixed_beam_negamax_vs_improved_adaptive_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,beam_negamax,0.21936891017187582,improved_adaptive_beam_negamax,0,1,39,second
,pvs,0.6919107850469453,improved_fixed_pvs,8,False,ended_with_n,D5000_seed1_improved_fixed_pvs_vs_baseline_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.37912368276415187,baseline_pvs,2,1,37,second
,pvs,0.43546710607849737,improved_fixed_pvs,3,False,ended_with_n,D5000_seed1_improved_fixed_pvs_vs_improved_adaptive_pvs,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed1.runtime.json,pvs,0.2624279249226674,improved_adaptive_pvs,1,1,21,second
,alpha_beta,0.17423127784224396,baseline_alpha_beta,0,False,ended_with_n,D5000_seed2_baseline_alpha_beta_vs_improved_fixed_alpha_beta,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,alpha_beta,0.15314574220246868,improved_fixed_alpha_beta,0,2,65,second
,beam_negamax,0.18803306253782162,baseline_beam_negamax,1,False,ended_with_n,D5000_seed2_baseline_beam_negamax_vs_improved_fixed_beam_negamax,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D5000_L2-12_seed2.runtime.json,beam_negamax,0.19130894532427192,improved_fixed_beam_negamax,0,2,71,second
