dict_size,random_seed,char,start_count,end_count,total_count,start_rate,end_rate,total_rate
1000,0,ふ,30,4,34,0.030000,0.004000,0.017000
1000,0,ぶ,8,7,15,0.008000,0.007000,0.007500
1000,0,ぷ,7,7,14,0.007000,0.007000,0.007000
1000,0,へ,10,0,10,0.010000,0.000000,0.005000
1000,0,べ,6,0,6,0.006000,0.000000,0.003000
1000,0,ぺ,3,0,3,0.003000,0.000000,0.001500
1000,0,ほ,11,1,12,0.011000,0.001000,0.006000
1000,0,ぼ,4,1,5,0.004000,0.001000,0.002500
1000,0,ぽ,1,1,2,0.001000,0.001000,0.001000
1000,0,ま,25,6,31,0.025000,0.006000,0.015500
1000,0,み,15,10,25,0.015000,0.010000,0.012500
1000,0,む,4,23,27,0.004000,0.023000,0.013500
1000,0,め,14,3,17,0.014000,0.003000,0.008500
1000,0,も,8,6,14,0.008000,0.006000,0.007000
1000,0,や,9,15,24,0.009000,0.015000,0.012000
1000,0,ゆ,5,4,9,0.005000,0.004000,0.004500
1000,0,よ,13,13,26,0.013000,0.013000,0.013000
1000,0,ら,2,13,15,0.002000,0.013000,0.007500
1000,0,り,16,22,38,0.016000,0.022000,0.019000
1000,0,る,1,81,82,0.001000,0.081000,0.041000
1000,0,れ,6,4,10,0.006000,0.004000,0.005000
1000,0,ろ,9,5,14,0.009000,0.005000,0.007000
1000,0,わ,9,5,14,0.009000,0.005000,0.007000
1000,0,ん,0,130,130,0.000000,0.130000,0.065000
1000,1,あ,28,37,65,0.028000,0.037000,0.032500
1000,1,い,36,95,131,0.036000,0.095000,0.065500
1000,1,う,16,109,125,0.016000,0.109000,0.062500
1000,1,え,9,15,24,0.009000,0.015000,0.012000
1000,1,お,37,5,42,0.037000,0.005000,0.021000
1000,1,か,47,14,61,0.047000,0.014000,0.030500
1000,1,が,10,2,12,0.010000,0.002000,0.006000
1000,1,き,32,48,80,0.032000,0.048000,0.040000
1000,1,ぎ,6,9,15,0.006000,0.009000,0.007500
1000,1,く,14,71,85,0.014000,0.071000,0.042500
1000,1,ぐ,2,5,7,0.002000,0.005000,0.003500
1000,1,け,11,8,19,0.011000,0.008000,0.009500
1000,1,げ,10,2,12,0.010000,0.002000,0.006000
1000,1,こ,39,5,44,0.039000,0.005000,0.022000
1000,1,ご,6,5,11,0.006000,0.005000,0.005500
1000,1,さ,26,5,31,0.026000,0.005000,0.015500
1000,1,ざ,6,1,7,0.006000,0.001000,0.003500
1000,1,し,61,22,83,0.061000,0.022000,0.041500
1000,1,じ,39,6,45,0.039000,0.006000,0.022500
1000,1,す,28,33,61,0.028000,0.033000,0.030500
1000,1,ず,1,4,5,0.001000,0.004000,0.002500
1000,1,せ,18,2,20,0.018000,0.002000,0.010000
1000,1,ぜ,7,0,7,0.007000,0.000000,0.003500
1000,1,そ,21,4,25,0.021000,0.004000,0.012500
1000,1,ぞ,1,0,1,0.001000,0.000000,0.000500
1000,1,た,27,9,36,0.027000,0.009000,0.018000
1000,1,だ,15,5,20,0.015000,0.005000,0.010000
