runtime,dict_size,seed,first_agent,second_agent,winner,loss_reason,turn_count,first_avg_time_sec,second_avg_time_sec,first_timeout_count,second_timeout_count,match_elapsed_time_sec
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,alpha_beta,greedy,first,ended_with_n,50,0.10632610675878823,3.286339342594147e-05,0,0,2.659609292051755
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,alpha_beta,beam_negamax,first,ended_with_n,112,0.16048769046860148,0.10402568975613187,0,0,14.81458374997601
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,alpha_beta,pvs,second,ended_with_n,61,0.09459813040561013,0.09152683886544158,0,0,5.679256833973341
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,beam_negamax,greedy,first,ended_with_n,50,0.1118562883278355,3.3820061944425106e-05,0,0,2.797895666095428
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,beam_negamax,alpha_beta,second,ended_with_n,61,0.06982281736113251,0.08876548199526345,0,0,4.828328166040592
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,beam_negamax,pvs,second,ended_with_n,61,0.07020243685767655,0.10011921813323472,0,0,5.180801957962103
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,pvs,greedy,first,ended_with_n,50,0.10218457994982601,3.2238480634987355e-05,0,0,2.55595504201483
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,pvs,alpha_beta,second,ended_with_n,61,0.10082341802697029,0.08566727500874549,0,0,5.696418832987547
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed0.runtime.json,10000,0,pvs,beam_negamax,first,ended_with_n,112,0.1798838868978367,0.10392265172309376,0,0,15.89507012499962
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,greedy,alpha_beta,second,ended_with_n,75,0.00024754836493612905,0.10845936136320233,0,0,4.023170207976364
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,greedy,beam_negamax,second,ended_with_n,81,0.00025344515650919296,0.09986365624354221,0,0,4.0059261249843985
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,greedy,pvs,second,ended_with_n,75,0.00023802860921836997,0.10886725558068704,0,0,4.037954458035529
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,alpha_beta,greedy,first,ended_with_n,68,0.08368520466747749,2.6299108011538492e-05,0,0,2.846843082923442
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,alpha_beta,beam_negamax,first,ended_with_n,150,0.12568302002735435,0.09891983949113638,0,0,16.84781891608145
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,alpha_beta,pvs,second,ended_with_n,199,0.11169583702459931,0.13289063390946448,0,0,24.328825708013028
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,beam_negamax,greedy,first,ended_with_n,100,0.10878615667112172,3.8301714230328795e-05,0,0,5.442310291924514
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,beam_negamax,alpha_beta,second,ended_with_n,285,0.09606798104713898,0.11114403141029573,0,0,29.524527958012186
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,beam_negamax,pvs,second,ended_with_n,285,0.09649686160305242,0.12603409040037175,0,0,31.70076770801097
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,pvs,greedy,first,ended_with_n,68,0.08358777681475177,2.6988974936744745e-05,0,0,2.8436220838921145
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,pvs,alpha_beta,second,ended_with_n,199,0.12019390298519284,0.136102686446828,0,0,25.497306459001265
/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D20000_L2-12_seed0.runtime.json,20000,0,pvs,beam_negamax,first,ended_with_n,150,0.1361139666925495,0.10098110164205233,0,0,17.78562224993948
