commit_id,dict_size,dictionary_file_sha256,dictionary_hash,dictionary_seed,experiment_config_hash,first_agent,first_avg_time_sec,first_beam_pruned_move_count,first_candidate_evaluations,first_config_id,first_cutoff_count,first_depth_change_count,first_graph_ordering_calls,first_graph_ordering_changed_first_count,first_graph_ordering_evaluations,first_graph_ordering_time_sec,first_leaf_evaluations,first_max_time_sec,first_mean_effective_depth,first_median_time_sec,first_nodes_searched,first_null_window_search_count,first_p95_time_sec,first_research_count,first_timeout_count,first_total_time_sec,invalid_move_count,loss_reason,match_elapsed_time_sec,match_id,match_seed,max_match_time_sec,max_moves,profile_name,repetition,runtime,second_agent,second_avg_time_sec,second_beam_pruned_move_count,second_candidate_evaluations,second_config_id,second_cutoff_count,second_depth_change_count,second_graph_ordering_calls,second_graph_ordering_changed_first_count,second_graph_ordering_evaluations,second_graph_ordering_time_sec,second_leaf_evaluations,second_max_time_sec,second_mean_effective_depth,second_median_time_sec,second_nodes_searched,second_null_window_search_count,second_p95_time_sec,second_research_count,second_timeout_count,second_total_time_sec,source_fingerprint,stage,turn_count,used_word_count,winner
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,59edaee16af2b20642c56fa4bb9a8c35595ca110b1af4b4e9ca87dc6ac356675,0824de995be4df8286e04f923f31fd74155137b5eb25a6870a0541b2726977f6,2,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_pvs,0.3767692015696268,15161382.0,17337324.0,balanced:beam_pvs,624938.0,15,0.0,0.0,0.0,0.0,632321.0,0.6213440829887986,8.929824561403509,0.38601050000000003,1692872.0,617587.0,0.557457,14552.0,0,85.90337795787491,0,ended_with_n,171.30669545801356,D10000_seed2_balanced_beam_pvs_vs_beam_alpha_beta,2000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_alpha_beta,0.3761490596548576,14795603.0,16874028.0,balanced:beam_alpha_beta,508843.0,11,0.0,0.0,0.0,0.0,666883.0,0.646966208005324,8.947136563876652,0.383408,1684298.0,0.0,0.539228,0.0,0,85.38583654165268,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,455,455,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,59edaee16af2b20642c56fa4bb9a8c35595ca110b1af4b4e9ca87dc6ac356675,0824de995be4df8286e04f923f31fd74155137b5eb25a6870a0541b2726977f6,2,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.26302777299449054,6936445.0,7828894.0,balanced:beam_alpha_beta,215711.0,13,0.0,0.0,0.0,0.0,247958.0,0.6615997499320656,8.888111888111888,0.172864,685828.0,0.0,0.555572,0.0,0,37.61297153821215,0,ended_with_n,74.4676200421527,D10000_seed2_balanced_beam_alpha_beta_vs_beam_pvs,2000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed2.runtime.json,beam_pvs,0.25765212439000607,7027121.0,7947439.0,balanced:beam_pvs,257550.0,17,0.0,0.0,0.0,0.0,223555.0,0.7741299578920007,8.874125874125873,0.207669,672974.0,227438.0,0.575958,5290.0,0,36.84425378777087,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,286,286,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,9430924a31ff3031ca6a0557562252b2a8abd5f2f723486d0145f4d76a139622,9655389c78dc509775999df2e4a5d1582a9b97956cc353e7741341a8d786ad18,3,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,alpha_beta,0.33911366026701506,0.0,1478998.0,balanced:alpha_beta,38893.0,16,0.0,0.0,0.0,0.0,107742.0,1.000025250017643,6.315789473684211,0.274704,163561.0,0.0,1.000023,0.0,2,12.886319090146571,0,ended_with_n,18.76482700021006,D10000_seed3_balanced_alpha_beta_vs_beam_alpha_beta,3000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed3.runtime.json,beam_alpha_beta,0.158807846862269,1097766.0,1227157.0,balanced:beam_alpha_beta,32550.0,1,0.0,0.0,0.0,0.0,35643.0,0.4323147910181433,8.945945945945946,0.169115,98950.0,0.0,0.426557,0.0,0,5.875890333903953,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,75,75,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,9430924a31ff3031ca6a0557562252b2a8abd5f2f723486d0145f4d76a139622,9655389c78dc509775999df2e4a5d1582a9b97956cc353e7741341a8d786ad18,3,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.08070716179560783,2424998.0,2712065.0,balanced:beam_alpha_beta,70407.0,1,0.0,0.0,0.0,0.0,46028.0,0.43694725004024804,8.984496124031008,0.053154,192689.0,0.0,0.265335,0.0,0,10.41122387163341,0,ended_with_n,58.79660287499428,D10000_seed3_balanced_beam_alpha_beta_vs_alpha_beta,3000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed3.runtime.json,alpha_beta,0.377947334000055,0.0,6283425.0,balanced:alpha_beta,165543.0,48,0.0,0.0,0.0,0.0,415837.0,1.0000260421074927,6.453125,0.3134265,655102.0,0.0,1.000021,0.0,7,48.37725875200704,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,257,257,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,9430924a31ff3031ca6a0557562252b2a8abd5f2f723486d0145f4d76a139622,9655389c78dc509775999df2e4a5d1582a9b97956cc353e7741341a8d786ad18,3,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_pvs,0.15461351920086414,1238985.0,1384466.0,balanced:beam_pvs,41444.0,1,0.0,0.0,0.0,0.0,32842.0,0.354145040968433,8.948717948717949,0.155437,104490.0,36045.0,0.344809,702.0,0,6.029927248833701,0,ended_with_n,11.432992584072053,D10000_seed3_balanced_beam_pvs_vs_beam_alpha_beta,3000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed3.runtime.json,beam_alpha_beta,0.13847527238659751,1070306.0,1194661.0,balanced:beam_alpha_beta,31030.0,1,0.0,0.0,0.0,0.0,32710.0,0.42307358304969966,8.948717948717949,0.107363,94235.0,0.0,0.343714,0.0,0,5.400535623077303,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,78,78,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,9430924a31ff3031ca6a0557562252b2a8abd5f2f723486d0145f4d76a139622,9655389c78dc509775999df2e4a5d1582a9b97956cc353e7741341a8d786ad18,3,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.1777600448948737,1364985.0,1523968.0,balanced:beam_alpha_beta,39909.0,1,0.0,0.0,0.0,0.0,40965.0,0.432693709153682,8.948717948717949,0.171101,119520.0,0.0,0.428509,0.0,0,6.932641750900075,0,ended_with_n,12.06067316699773,D10000_seed3_balanced_beam_alpha_beta_vs_beam_pvs,3000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed3.runtime.json,beam_pvs,0.1314216441450975,1048054.0,1170758.0,balanced:beam_pvs,35020.0,1,0.0,0.0,0.0,0.0,28173.0,0.34503666614182293,8.948717948717949,0.12214,88706.0,30910.0,0.261198,677.0,0,5.125444121658802,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,78,78,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,111970c79836f310a1c9dac9d12efec6728a91c2dcdec5d45abc93eb83f42f02,35e9227570c996ccac4b63270c44f70172e04d094ba16a13f1f9d3ee41415bff,4,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,alpha_beta,0.3701710611605993,0.0,3054417.0,balanced:alpha_beta,79352.0,32,0.0,0.0,0.0,0.0,266470.0,1.000027583912015,5.688311688311688,0.295453,376712.0,0.0,0.92318,0.0,1,28.503171709366143,0,ended_with_n,49.57517029205337,D10000_seed4_balanced_alpha_beta_vs_beam_alpha_beta,4000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed4.runtime.json,beam_alpha_beta,0.2771942351583244,4155613.0,4604355.0,balanced:beam_alpha_beta,108558.0,7,0.0,0.0,0.0,0.0,135675.0,0.5825328750070184,8.894736842105264,0.2620565,354707.0,0.0,0.546991,0.0,0,21.066761872032657,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,153,153,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,111970c79836f310a1c9dac9d12efec6728a91c2dcdec5d45abc93eb83f42f02,35e9227570c996ccac4b63270c44f70172e04d094ba16a13f1f9d3ee41415bff,4,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.1718660088621878,897905.0,990053.0,balanced:beam_alpha_beta,23217.0,1,0.0,0.0,0.0,0.0,25185.0,0.37171499989926815,8.928571428571429,0.20156649999999998,69982.0,0.0,0.370326,0.0,0,4.812248248141259,0,ended_with_n,12.083083000034094,D10000_seed4_balanced_beam_alpha_beta_vs_alpha_beta,4000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed4.runtime.json,alpha_beta,0.2692216079664865,0.0,782951.0,balanced:alpha_beta,20924.0,10,0.0,0.0,0.0,0.0,59957.0,0.9640612909570336,6.296296296296297,0.206454,89926.0,0.0,0.961836,0.0,0,7.268983415095136,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,55,55,second
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,111970c79836f310a1c9dac9d12efec6728a91c2dcdec5d45abc93eb83f42f02,35e9227570c996ccac4b63270c44f70172e04d094ba16a13f1f9d3ee41415bff,4,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_pvs,0.2328956943626205,1610886.0,1763880.0,balanced:beam_pvs,42529.0,1,0.0,0.0,0.0,0.0,42406.0,0.48116933298297226,8.948717948717949,0.219376,116261.0,41362.0,0.457927,1167.0,0,9.0829320801422,0,ended_with_n,17.843358917161822,D10000_seed4_balanced_beam_pvs_vs_beam_alpha_beta,4000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed4.runtime.json,beam_alpha_beta,0.22455377336472082,1504558.0,1651989.0,balanced:beam_alpha_beta,36341.0,1,0.0,0.0,0.0,0.0,45020.0,0.40768120787106454,8.948717948717949,0.273129,116553.0,0.0,0.384655,0.0,0,8.757597161224112,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,78,78,first
c4ad512b37cbf598c6a8063c964e5a371ba9d9fd,10000,111970c79836f310a1c9dac9d12efec6728a91c2dcdec5d45abc93eb83f42f02,35e9227570c996ccac4b63270c44f70172e04d094ba16a13f1f9d3ee41415bff,4,5766e8fdd7c39ad4218d87c72fc8011af538332539064d61768baefded5bb1cb,beam_alpha_beta,0.21852764215033788,1465189.0,1606883.0,balanced:beam_alpha_beta,34892.0,1,0.0,0.0,0.0,0.0,42032.0,0.39280766691081226,8.948717948717949,0.217179,110548.0,0.0,0.386286,0.0,0,8.522578043863177,0,ended_with_n,16.316052958136424,D10000_seed4_balanced_beam_alpha_beta_vs_beam_pvs,4000,300.0,1000,balanced,0,/Users/onumagakuto/Documents/最強しりとり/shiritori_ai/data/dictionaries/D10000_L2-12_seed4.runtime.json,beam_pvs,0.19975812284228128,1371483.0,1504170.0,balanced:beam_pvs,37677.0,1,0.0,0.0,0.0,0.0,36320.0,0.44852324994280934,8.948717948717949,0.21072,100295.0,35596.0,0.424564,741.0,0,7.79056679084897,88c90c090688c0b0fd5bef8f8aab01497b7e583a448eaed959d068c43777a586,tune,78,78,first
