match_id,turn,dict_size,remaining_bin,remaining_word_rate,graph_control_won,candidate_count,score_range,score_stddev,best_score_tie_count,distinct_score_count,all_candidates_tied,all_candidate_score_range_including_terminal,scc_nearly_whole,reachable_chars_all_same,reachable_edges_nearly_same,feature_contribution,greedy_agreement,alpha_beta_agreement,evaluation_time_sec,scc_time_sec,reachability_time_sec,local_time_sec
D1000_seed0_pvs_vs_graph_control_rep0,2,1000,80-100%,0.999,False,2,0.0,0.0,1,1,True,1000000010.3216455,False,False,False,both,True,True,0.00040391692891716957,0.00021695811301469803,1.4375080354511738e-05,2.4292035959661007e-05
D1000_seed0_pvs_vs_graph_control_rep0,4,1000,80-100%,0.997,False,4,2.4360627910128088,0.9706227388254353,1,4,False,2.4360627910128088,False,True,True,local_only,True,True,0.0009878750424832106,0.0004292088560760021,4.9582915380597115e-05,7.949885912239552e-05
D1000_seed0_pvs_vs_graph_control_rep0,6,1000,80-100%,0.995,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.0002454579807817936,0.00010549998842179775,1.3042008504271507e-05,2.0209001377224922e-05
D1000_seed0_pvs_vs_graph_control_rep0,8,1000,80-100%,0.993,False,7,0.7849348222019135,0.2854760961096204,1,6,False,1000000011.2731197,False,False,False,both,True,True,0.001568333012983203,0.0007204168941825628,7.454096339643002e-05,0.00012124993372708559
D1000_seed0_pvs_vs_graph_control_rep0,10,1000,80-100%,0.991,False,12,1.198964209998712,0.38414523245958787,1,11,False,1000000011.2536076,False,False,False,both,True,False,0.0027558329747989774,0.0012552490225061774,0.00013720884453505278,0.00022737379185855389
D1000_seed0_pvs_vs_graph_control_rep0,12,1000,80-100%,0.989,False,2,0.26232781012623896,0.13116390506311948,1,2,False,0.26232781012623896,False,True,True,local_only,True,True,0.0005555839743465185,0.00021604204084724188,2.712488640099764e-05,3.975001163780689e-05
D1000_seed0_pvs_vs_graph_control_rep0,14,1000,80-100%,0.987,False,7,1.0612040652319141,0.34935371020150213,1,7,False,1.0612040652319141,False,True,True,local_only,True,False,0.0018120830645784736,0.0007549580186605453,9.471015073359013e-05,0.00015866616740822792
D1000_seed0_pvs_vs_graph_control_rep0,16,1000,80-100%,0.985,False,4,0.5862827101916874,0.24863449376785973,1,3,False,1000000010.91747,False,False,False,both,True,False,0.0009185420349240303,0.00043958413880318403,4.041707143187523e-05,7.021008059382439e-05
D1000_seed0_beam_negamax_vs_graph_control_rep0,2,1000,80-100%,0.999,False,1,0.0,0.0,1,1,True,0.0,False,True,True,neither,True,True,0.0002693749265745282,0.00011195894330739975,1.791701652109623e-05,2.150004729628563e-05
D1000_seed0_beam_negamax_vs_graph_control_rep0,4,1000,80-100%,0.997,False,6,1.2135701598636572,0.3872514494813354,1,6,False,1.2135701598636572,False,True,True,local_only,False,True,0.0015119999879971147,0.000627207919023931,7.95009545981884e-05,0.00012312503531575203
D1000_seed0_beam_negamax_vs_graph_control_rep0,6,1000,80-100%,0.995,False,20,3.771322962705556,0.7505768731837545,1,19,False,1000000013.7889228,False,False,False,both,False,False,0.004566999967209995,0.002071914030238986,0.00022970791906118393,0.00037562474608421326
D1000_seed0_beam_negamax_vs_graph_control_rep0,8,1000,80-100%,0.993,False,7,1.0975962894780036,0.3378013065232379,1,7,False,1.0975962894780036,False,True,True,local_only,False,False,0.0017957909731194377,0.0007525818655267358,9.437499102205038e-05,0.00014320900663733482
D1000_seed0_graph_control_vs_random_rep0,1,1000,80-100%,1.0,True,640,5.228282950672865,0.7044603582312916,1,91,False,1000000015.1291957,False,False,False,both,False,False,0.13213695806916803,0.05349534540437162,0.006136969313956797,0.010024991119280457
