agent,beam_pruned_move_count,beam_widths,beam_widths_used,branch_limit,candidate_evaluation_time_sec,candidate_sort_time_sec,category,completed_root_moves,config_id,cutoff_count,depth,depth_after,depth_before,depth_change_reason,depth_changed,effective_depth,elapsed_time_sec,end_id,leaf_evaluation_time_sec,leaf_evaluations,legal_edge_count,legal_move_generation_time_sec,nodes_searched,null_window_searches,ordering_evaluations,other_time_sec,position_id,profile,pruned_move_count,recovery_streak,recursive_ordering_time_sec,recursive_other_time_sec,remaining_word_count,research_count,research_rate,risk_level,root_candidate_count,root_completion_rate,root_ordering_time_sec,score,seed,selected_edge,selected_root_candidate_count,sequence_index,split,start_id,timed_out,turn,baseline_move_agreement,alpha_beta_reference_config,alpha_beta_move_agreement,alpha_beta_score_agreement,alpha_beta_reference_rank,alpha_beta_reference_retained_at_root
alpha_beta,0,,{},16,0.0009174607694149017,0.00010445737279951572,late,3,alpha_beta_d5_b16,18,5,5,5,adaptive_disabled,False,5,0.0013814170379191637,63,0.00017962558194994926,14,3,2.083834260702133e-06,39,0,382,2.2208085283637047e-05,seed1_late_t236,fixed,336,0,0.00101658352650702,0.00014416594058275223,4,0,0.0,danger,3,1.0,1.6750069335103035e-05,-999996.0,1,35→63,3,,tuning,35,False,236,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.028646833263337612,0.003504503285512328,few_legal,2,alpha_beta_d5_b16,256,5,5,5,adaptive_disabled,False,5,0.12905979179777205,2,0.08827057480812073,968,2,2.4579931050539017e-06,1295,0,7978,7.045874372124672e-05,seed1_few_legal_t121,fixed,6634,0,0.03249220899306238,0.008212008280679584,4,0,0.0,critical,2,1.0,1.2082979083061218e-05,648.5,1,20→2,2,,tuning,20,False,121,True,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},16,0.1469520963728428,0.02565266820602119,early_pruning,9,alpha_beta_d5_b16,1402,5,5,5,adaptive_disabled,False,5,1.0000242909882218,61,0.7691160582471639,5924,29,5.707843229174614e-06,7830,0,39651,1.6875099390745163e-05,seed1_early_pruning_t75,fixed,31466,0,0.1746256616897881,0.056157947052270174,66,0,0.0,normal,29,0.5625,0.00010204105637967587,799.5,1,2→61,16,,tuning,2,True,75,False,alpha_beta_d5_b16,True,True,,
alpha_beta,0,,{},8,0.054283767472952604,0.005893968977034092,early,8,alpha_beta_d6_b8,566,6,6,6,adaptive_disabled,False,6,0.21749950014054775,35,0.14255358162336051,1748,1686,0.000174832995980978,2498,0,16918,3.216625191271305e-05,seed0_early_t0,fixed,14410,0,0.055957762291654944,0.013954197987914085,5000,0,0.0,normal,1686,1.0,0.004826958989724517,-597.0,0,1→35,8,,tuning,1,False,0,True,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.016672958387061954,0.001894756918773055,middle,2,alpha_beta_d6_b8,186,6,6,6,adaptive_disabled,False,6,0.06988541688770056,63,0.046035396633669734,572,2,2.874992787837982e-06,865,0,5040,2.554291859269142e-05,seed0_middle_t27,fixed,4175,0,0.01879065274260938,0.005009866552427411,2,0,0.0,critical,2,1.0,2.108304761350155e-05,-797.0,0,63→63,2,,tuning,63,False,27,True,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.035025509307160974,0.004037042614072561,late,8,alpha_beta_d6_b8,369,6,6,6,adaptive_disabled,False,6,0.08707287511788309,28,0.0405975712928921,420,23,5.083158612251282e-06,1149,0,10152,1.687486656010151e-05,seed0_late_t49,fixed,9003,0,0.03933304036036134,0.007033846341073513,78,0,0.0,normal,23,1.0,8.64590983837843e-05,999995.0,0,11→28,8,,tuning,11,False,49,True,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.06583204958587885,0.01121669914573431,few_legal,2,alpha_beta_d6_b8,440,6,6,6,adaptive_disabled,False,6,0.3747136250603944,54,0.26726158149540424,1937,2,3.582797944545746e-06,2599,0,12040,9.083445183932781e-05,seed0_few_legal_t6,fixed,9433,0,0.07866558968089521,0.028669578721746802,2,0,0.0,critical,2,1.0,2.245791256427765e-05,-597.0,0,35→54,2,,tuning,35,False,6,False,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.05454037059098482,0.007216185098513961,early_pruning,8,alpha_beta_d6_b8,455,6,6,6,adaptive_disabled,False,6,0.29587208293378353,66,0.21487127267755568,1415,26,6.749993190169334e-06,2107,0,13005,1.7292099073529243e-05,seed0_early_pruning_t17,fixed,10894,0,0.06257979478687048,0.01830118242651224,44,0,0.0,normal,26,1.0,9.579095058143139e-05,-807.5,0,28→66,8,,tuning,28,False,17,False,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.07954374747350812,0.009397482965141535,early,8,alpha_beta_d6_b8,911,6,6,6,adaptive_disabled,False,6,0.38672970817424357,35,0.27323630754835904,2822,1678,0.00019124988466501236,3991,0,24084,3.712531179189682e-05,seed1_early_t0,fixed,19913,0,0.08508756407536566,0.023213003296405077,5000,0,0.0,normal,1678,1.0,0.004964458057656884,-758.5,1,13→35,8,,tuning,13,False,0,True,alpha_beta_d6_b8,True,True,,
alpha_beta,0,,{},8,0.06560379778966308,0.008694837801158428,middle,8,alpha_beta_d6_b8,703,6,6,6,adaptive_disabled,False,6,0.26435087504796684,20,0.17087580915540457,1661,37,1.0083196684718132e-05,2612,0,17567,2.39592045545578e-05,seed1_middle_t120,fixed,14836,0,0.07504960498772562,0.018114168662577868,90,0,0.0,normal,37,1.0,0.0002772498410195112,-667.0,1,9→20,8,,tuning,9,False,120,False,alpha_beta_d6_b8,True,True,,
