dict_size,random_seed,char,start_count,end_count,win_move_count_to_char,total_move_count_to_char,win_rate_to_char
50,4,ら,0,1,1,1,1.000000
50,4,り,0,1,1,1,1.000000
50,4,る,0,3,3,3,1.000000
50,4,れ,0,1,1,1,1.000000
50,4,ん,0,9,0,9,0.000000
50,4,ゔ,1,0,0,0,0.000000
75,0,あ,2,1,0,1,0.000000
75,0,い,0,10,10,10,1.000000
75,0,う,1,8,8,8,1.000000
75,0,え,0,1,1,1,1.000000
75,0,お,3,0,0,0,0.000000
75,0,か,7,1,0,1,0.000000
75,0,が,1,0,0,0,0.000000
75,0,き,1,0,0,0,0.000000
75,0,く,3,4,0,4,0.000000
75,0,ぐ,1,2,2,2,1.000000
75,0,け,0,1,1,1,1.000000
75,0,こ,0,1,1,1,1.000000
75,0,さ,3,0,0,0,0.000000
75,0,し,4,0,0,0,0.000000
75,0,じ,3,1,0,1,0.000000
75,0,す,0,1,1,1,1.000000
75,0,ず,0,1,1,1,1.000000
75,0,せ,3,1,0,1,0.000000
75,0,そ,2,1,0,1,0.000000
75,0,た,3,1,0,1,0.000000
75,0,だ,2,0,0,0,0.000000
75,0,ち,2,1,0,1,0.000000
75,0,つ,0,2,2,2,1.000000
75,0,て,2,0,0,0,0.000000
75,0,と,0,2,2,2,1.000000
75,0,ど,1,4,0,4,0.000000
75,0,な,1,0,0,0,0.000000
75,0,に,1,0,0,0,0.000000
75,0,の,1,0,0,0,0.000000
75,0,は,1,0,0,0,0.000000
75,0,ば,1,1,1,1,1.000000
75,0,ぱ,1,0,0,0,0.000000
75,0,ひ,1,0,0,0,0.000000
75,0,ふ,3,0,0,0,0.000000
75,0,ぶ,1,1,0,1,0.000000
75,0,ぷ,1,2,2,2,1.000000
75,0,へ,1,0,0,0,0.000000
75,0,ほ,2,0,0,0,0.000000
75,0,ぼ,1,0,0,0,0.000000
75,0,ま,1,0,0,0,0.000000
75,0,み,1,0,0,0,0.000000
75,0,む,2,1,0,1,0.000000
75,0,め,3,1,0,1,0.000000
75,0,も,2,1,0,1,0.000000
75,0,や,1,3,3,3,1.000000
75,0,ゆ,1,1,0,1,0.000000
75,0,よ,0,1,1,1,1.000000
75,0,り,2,2,0,2,0.000000
75,0,る,0,5,5,5,1.000000
75,0,れ,0,2,2,2,1.000000
75,0,わ,2,0,0,0,0.000000
75,0,ん,0,10,0,10,0.000000
75,1,あ,2,4,0,4,0.000000
75,1,い,7,12,0,12,0.000000
75,1,う,0,9,9,9,1.000000
75,1,え,0,1,1,1,1.000000
75,1,お,1,0,0,0,0.000000
75,1,か,4,2,0,2,0.000000
75,1,が,1,0,0,0,0.000000
75,1,き,2,3,3,3,1.000000
75,1,く,1,4,1,4,0.250000
75,1,け,0,1,1,1,1.000000
75,1,げ,0,1,1,1,1.000000
75,1,こ,3,1,1,1,1.000000
75,1,ご,1,0,0,0,0.000000
75,1,し,8,1,0,1,0.000000
75,1,じ,2,0,0,0,0.000000
75,1,せ,2,0,0,0,0.000000
75,1,ぜ,1,0,0,0,0.000000
75,1,そ,1,1,0,1,0.000000
75,1,た,1,0,0,0,0.000000
75,1,ち,1,1,1,1,1.000000
75,1,つ,1,4,0,4,0.000000
75,1,で,1,1,1,1,1.000000
75,1,と,3,0,0,0,0.000000
75,1,ど,1,1,0,1,0.000000
75,1,な,1,0,0,0,0.000000
75,1,に,1,1,1,1,1.000000
75,1,ね,2,0,0,0,0.000000
75,1,は,2,0,0,0,0.000000
75,1,ば,2,0,0,0,0.000000
75,1,ぱ,1,0,0,0,0.000000
75,1,ひ,2,0,0,0,0.000000
75,1,ふ,2,1,0,1,0.000000
75,1,ぶ,1,1,0,1,0.000000
75,1,へ,2,0,0,0,0.000000
75,1,ぺ,1,0,0,0,0.000000
75,1,ほ,4,0,0,0,0.000000
75,1,ま,2,0,0,0,0.000000
75,1,む,1,3,3,3,1.000000
75,1,め,1,2,2,2,1.000000
75,1,も,2,0,0,0,0.000000
75,1,よ,1,0,0,0,0.000000
75,1,ら,0,2,2,2,1.000000
75,1,り,2,2,2,2,1.000000
75,1,る,0,4,4,4,1.000000
75,1,れ,1,0,0,0,0.000000
75,1,ろ,0,1,1,1,1.000000
75,1,ん,0,11,0,11,0.000000
75,2,あ,0,1,1,1,1.000000
75,2,い,4,12,0,12,0.000000
75,2,う,0,2,2,2,1.000000
75,2,え,0,1,1,1,1.000000
75,2,お,1,0,0,0,0.000000
75,2,か,2,1,1,1,1.000000
75,2,が,0,1,1,1,1.000000
75,2,き,0,6,6,6,1.000000
