matchup,first_agent,second_agent,match_id,dict_size,random_seed,winner,loss_reason,turn,player,agent,required_start_char,edge_index,start_id,end_id,edge_count_before,edge_count_after,previous_word,word,start_char,end_char,next_required_start_char,elapsed_time_sec,timed_out,score,effective_depth,next_depth,adaptive_depth,pruned_count,nodes_searched,leaf_evaluations,ordering_evaluations,full_survival_evaluations,simple_survival_evaluations,completed_root_moves,ordering_time_sec,evaluation_time_sec,search_time_sec,total_search_time_sec,elapsed_ratio,risk_level,attack_score,survival_score,survival_weight,total_score,opponent_legal_word_count,opponent_safe_word_count,opponent_active_edge_type_count,opponent_safe_edge_type_count,opponent_destination_count,opponent_safe_destination_count,own_safe_word_count,own_safe_edge_type_count,own_safe_destination_count,root_candidate_count,searched_root_candidate_count,cutoff_count,pruned_move_count,beam_pruned_move_count,null_window_search_count,null_window_searches,research_count,research_rate,beam_widths_used,evaluated_moves,chain_so_far
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,21,first,alpha_beta,う,199,2,63,3,2,,,う,る,る,0.072185,False,-616.5,4,4,False,8304,741,527,9077,0,0,12,0.022387008764781058,0.04577607777900994,0.07203045894857496,0.07218491705134511,0.07218491705134511,normal,-656.5,0.0,0.0,-656.5,31,24,12,11,12,11,264,55,55,56,12,171,8304,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,22,second,beam_negamax,る,4317,63,33,1,0,,,る,な,な,0.071925,False,-626.5,4,4,False,0,1155,704,12407,0,0,12,0.030896783689968288,0.036295785335823894,0.07188133406452835,0.07192483404651284,0.07192483404651284,normal,-5805.0,0.0,0.0,-5805.0,280,250,53,52,53,52,24,11,11,12,12,0,0,11251,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,23,first,alpha_beta,な,2307,33,63,5,4,,,な,る,る,0.043561,False,-586.5,4,4,False,7151,480,296,7650,0,0,12,0.01919775176793337,0.021870403783395886,0.04341016698163003,0.043560708058066666,0.043560708058066666,normal,-626.5,0.0,0.0,-626.5,30,23,11,10,11,10,250,52,52,53,12,157,7151,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,24,second,beam_negamax,る,4328,63,44,1,0,,,る,ふ,ふ,0.064033,False,-596.5,4,4,False,0,1050,640,11134,0,0,11,0.02743091224692762,0.03238945605698973,0.06399366597179323,0.06403337500523776,0.06403337500523776,normal,-11139.5,0.0,0.0,-11139.5,573,492,54,53,54,53,23,10,10,11,11,0,0,10083,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",11,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,25,first,alpha_beta,ふ,3055,44,63,15,14,,,ふ,る,る,0.033941,False,-556.5,4,4,False,6711,396,231,7127,0,0,12,0.017708048224449158,0.01424175186548382,0.033787833992391825,0.03394116600975394,0.03394116600975394,normal,-596.5,0.0,0.0,-596.5,29,22,10,9,10,9,492,53,53,54,12,142,6711,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ -> ふ→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,26,second,beam_negamax,る,4284,63,0,1,0,,,る,あ,あ,0.056761,False,-566.5,4,4,False,0,945,576,9967,0,0,10,0.024542382336221635,0.028479370987042785,0.056723583955317736,0.05676075001247227,0.05676075001247227,normal,-11232.5,0.0,0.0,-11232.5,561,506,60,59,60,59,22,9,9,10,10,0,0,9021,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",10,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ -> ふ→る -> る→あ
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,27,first,alpha_beta,あ,63,0,63,14,13,,,あ,る,る,0.028386,False,-526.5,4,4,False,5931,349,196,6299,0,0,12,0.015674959518946707,0.010991418617777526,0.028225542046129704,0.028386416961438954,0.028386416961438954,normal,-566.5,0.0,0.0,-566.5,28,21,9,8,9,8,506,59,59,60,12,131,5931,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ -> ふ→る -> る→あ -> あ→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,28,second,beam_negamax,る,4291,63,7,1,0,,,る,き,き,0.049905,False,-536.5,4,4,False,0,840,512,8807,0,0,9,0.02169025130569935,0.02490400499664247,0.04987049999181181,0.04990462493151426,0.04990462493151426,normal,-13415.0,0.0,0.0,-13415.0,710,580,59,58,59,58,21,8,8,9,9,0,0,7966,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",9,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ -> ふ→る -> る→あ -> あ→る -> る→き
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,29,first,alpha_beta,き,539,7,63,12,11,,,き,る,る,0.023659,False,-496.5,4,4,False,5310,303,162,5631,0,0,12,0.013987754238769412,0.008224868099205196,0.023500166949816048,0.023659083992242813,0.023659083992242813,normal,-536.5,0.0,0.0,-536.5,27,20,8,7,8,7,580,58,58,59,12,120,5310,0,0,0,0,0.0,{},12,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ -> ふ→る -> る→あ -> あ→る -> る→き -> き→る
alpha_beta vs beam_negamax,alpha_beta,beam_negamax,D20000_seed0_alpha_beta_vs_beam_negamax_0,20000,0,first,ended_with_n,30,second,beam_negamax,る,4302,63,18,1,0,,,る,じ,じ,0.04223,False,-506.5,4,4,False,0,722,440,7531,0,0,8,0.018513781717047095,0.02087888354435563,0.04220124997664243,0.042230374994687736,0.042230374994687736,normal,-13570.0,0.0,0.0,-13570.0,725,585,55,54,55,54,20,7,7,8,8,0,0,6807,0,0,0,0.0,"{""0"": 12, ""1"": 8, ""2"": 4, ""3"": 2}",8,あ→ぬ -> ぬ→る -> る→る -> る→げ -> げ→る -> る→つ -> つ→る -> る→り -> り→る -> る→ぽ -> ぽ→る -> る→ぷ -> ぷ→る -> る→び -> び→る -> る→む -> む→る -> る→く -> く→る -> る→う -> う→る -> る→な -> な→る -> る→ふ -> ふ→る -> る→あ -> あ→る -> る→き -> き→る -> る→じ
